,hypergraph,two_nest_set,three_nest_set
10,"{'e0': [1, 10, 12, 2, 4, 5, 6, 7, 8, 9], 'e1': [11, 2, 3, 5, 6, 7, 8, 9], 'e2': [2, 3, 5, 6, 9], 'e3': [12, 4, 6, 7]}","[[1, 4], [1, 10], [1, 12], [3, 11], [4, 10], [4, 12], [10, 12]]","[[1, 4], [1, 10], [1, 12], [3, 11], [4, 10], [4, 12], [10, 12]]"
11,"{'e0': [1, 10, 12, 3, 4, 5, 6, 7, 8, 9], 'e1': [1, 10, 12, 3, 4, 5, 7, 8], 'e2': [1, 10, 2, 3, 9], 'e3': [11, 3, 5, 8]}","[[2, 6], [2, 9], [4, 6], [4, 7], [4, 11], [4, 12], [5, 11], [6, 7], [6, 11], [6, 12], [7, 11], [7, 12], [8, 11], [11, 12]]","[[2, 6], [2, 9], [4, 6], [4, 7], [4, 11], [4, 12], [5, 11], [6, 7], [6, 11], [6, 12], [7, 11], [7, 12], [8, 11], [11, 12]]"
12,"{'e0': [1, 10, 2, 3, 4, 5, 6, 7, 8, 9], 'e1': [10, 11, 12, 4, 5, 7, 8, 9], 'e2': [10, 3, 6, 8, 9], 'e3': [10, 4, 7, 9]}","[[1, 2], [1, 3], [1, 6], [2, 3], [2, 6], [3, 6], [11, 12]]","[[1, 2], [1, 3], [1, 6], [2, 3], [2, 6], [3, 6], [11, 12]]"
13,"{'e0': [1, 11, 12, 2, 3, 4, 5, 6, 8, 9], 'e1': [1, 10, 11, 12, 3, 4, 6, 9], 'e2': [11, 2, 3, 5, 9], 'e3': [11, 3, 7, 9]}","[[1, 10], [2, 5], [2, 7], [2, 8], [4, 10], [5, 7], [5, 8], [6, 10], [7, 8], [7, 10], [8, 10], [10, 12]]","[[1, 10], [2, 5], [2, 7], [2, 8], [4, 10], [5, 7], [5, 8], [6, 10], [7, 8], [7, 10], [8, 10], [10, 12]]"
14,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 6, 7], 'e2': [1, 2, 4, 5, 6, 7, 8]}","[[1, 3], [1, 8], [2, 3], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 8], [5, 8], [6, 8], [7, 8]]","[[1, 3], [1, 8], [2, 3], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 8], [5, 8], [6, 8], [7, 8]]"
15,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 6, 7], 'e2': [1, 2, 4, 7, 8], 'e3': [1, 2, 3]}","[[3, 5], [3, 6], [3, 8], [4, 8], [5, 6], [5, 8], [6, 8], [7, 8]]","[[3, 5], [3, 6], [3, 8], [4, 8], [5, 6], [5, 8], [6, 8], [7, 8]]"
16,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 6, 7], 'e2': [1, 2, 5, 6, 7], 'e3': [4, 5, 6]}","[[1, 2], [1, 3], [1, 4], [1, 7], [1, 8], [2, 3], [2, 4], [2, 7], [2, 8], [3, 4], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [7, 8]]","[[1, 2], [1, 3], [1, 4], [1, 7], [1, 8], [2, 3], [2, 4], [2, 7], [2, 8], [3, 4], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [7, 8]]"
17,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 6, 7], 'e2': [1, 2, 7], 'e3': [2, 3, 7]}","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 3], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 5], [4, 6], [4, 8], [5, 6], [5, 8], [6, 8]]","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 3], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 5], [4, 6], [4, 8], [5, 6], [5, 8], [6, 8]]"
18,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 6, 7], 'e2': [3, 4, 6, 7, 8], 'e3': [1, 2, 8]}",[],[]
19,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 6, 7], 'e2': [3, 4, 6, 7, 8], 'e3': [5, 7, 8]}","[[1, 2], [5, 8]]","[[1, 2], [5, 8]]"
20,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 6, 8], 'e2': [1, 3, 4, 5]}","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]"
21,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 6, 8], 'e2': [1, 7, 8], 'e3': [1, 4, 7]}","[[2, 3], [2, 5], [2, 6], [3, 5], [3, 6], [4, 7], [5, 6], [7, 8]]","[[2, 3], [2, 5], [2, 6], [3, 5], [3, 6], [4, 7], [5, 6], [7, 8]]"
22,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 6, 8], 'e2': [2, 4]}","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]"
23,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 6], 'e2': [2, 4, 7, 8], 'e3': [1, 5, 6]}","[[1, 3], [1, 5], [1, 6], [3, 5], [3, 6], [5, 6], [7, 8]]","[[1, 3], [1, 5], [1, 6], [3, 5], [3, 6], [5, 6], [7, 8]]"
24,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 6], 'e2': [2, 7, 8], 'e3': [5, 8]}","[[1, 3], [1, 4], [1, 6], [3, 4], [3, 6], [4, 6]]","[[1, 3], [1, 4], [1, 6], [3, 4], [3, 6], [4, 6]]"
25,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 7, 8], 'e2': [1, 2, 3, 4, 5], 'e3': [2, 7, 8]}","[[1, 3], [1, 4], [1, 5], [1, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6], [6, 7], [6, 8], [7, 8]]","[[1, 3], [1, 4], [1, 5], [1, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 6], [5, 6], [6, 7], [6, 8], [7, 8]]"
26,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 7, 8], 'e2': [2, 3, 5, 6, 8], 'e3': [2, 3, 6]}","[[1, 4], [1, 6], [1, 7], [2, 6], [3, 6], [4, 6], [4, 7], [5, 6], [6, 7], [6, 8]]","[[1, 4], [1, 6], [1, 7], [2, 6], [3, 6], [4, 6], [4, 7], [5, 6], [6, 7], [6, 8]]"
27,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 7, 8], 'e2': [2, 3, 5, 6, 8], 'e3': [4, 5, 7]}","[[1, 4], [1, 6], [1, 7], [2, 6], [3, 6], [4, 7], [6, 8]]","[[1, 4], [1, 6], [1, 7], [2, 6], [3, 6], [4, 7], [6, 8]]"
28,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 7], 'e2': [1, 2, 6, 8], 'e3': [3, 5, 8]}","[[4, 7]]","[[4, 7]]"
29,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 7], 'e2': [2, 4, 5, 7], 'e3': [1, 3]}","[[1, 3], [1, 6], [1, 8], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 6], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]","[[1, 3], [1, 6], [1, 8], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 6], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]"
30,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 8], 'e2': [1, 2, 8], 'e3': [3, 4, 5]}","[[1, 2], [1, 6], [1, 7], [1, 8], [2, 6], [2, 7], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [4, 5], [4, 6], [4, 7], [5, 6], [5, 7], [6, 7], [6, 8], [7, 8]]","[[1, 2], [1, 6], [1, 7], [1, 8], [2, 6], [2, 7], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [4, 5], [4, 6], [4, 7], [5, 6], [5, 7], [6, 7], [6, 8], [7, 8]]"
31,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 8], 'e2': [2, 5, 6, 7], 'e3': [2, 6, 7]}","[[1, 3], [1, 4], [1, 8], [3, 4], [3, 8], [4, 8], [6, 7]]","[[1, 3], [1, 4], [1, 8], [3, 4], [3, 8], [4, 8], [6, 7]]"
32,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5, 8], 'e2': [3, 7, 8], 'e3': [1, 7, 8]}","[[1, 7], [2, 4], [2, 5], [2, 6], [3, 7], [4, 5], [4, 6], [5, 6]]","[[1, 7], [2, 4], [2, 5], [2, 6], [3, 7], [4, 5], [4, 6], [5, 6]]"
33,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 5], 'e2': [1, 4, 6], 'e3': [1, 3, 8]}","[[2, 5], [2, 6], [2, 7], [2, 8], [3, 8], [4, 6], [5, 6], [5, 7], [5, 8], [6, 7], [7, 8]]","[[2, 5], [2, 6], [2, 7], [2, 8], [3, 8], [4, 6], [5, 6], [5, 7], [5, 8], [6, 7], [7, 8]]"
34,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 6, 7, 8], 'e2': [1, 2, 5, 7]}","[[1, 5], [2, 5], [3, 4], [3, 5], [3, 6], [3, 8], [4, 5], [4, 6], [4, 8], [5, 6], [5, 7], [5, 8], [6, 8]]","[[1, 5], [2, 5], [3, 4], [3, 5], [3, 6], [3, 8], [4, 5], [4, 6], [4, 8], [5, 6], [5, 7], [5, 8], [6, 8]]"
35,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 6, 7, 8], 'e2': [2, 3, 5, 6, 8], 'e3': [2, 3, 6]}","[[1, 4], [1, 5], [1, 7], [2, 5], [3, 5], [4, 5], [4, 7], [5, 6], [5, 7], [5, 8]]","[[1, 4], [1, 5], [1, 7], [2, 5], [3, 5], [4, 5], [4, 7], [5, 6], [5, 7], [5, 8]]"
36,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 6, 7, 8], 'e2': [2, 3, 6, 7, 8]}","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]"
37,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 6, 7, 8], 'e2': [3, 4, 8]}","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]"
38,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 6, 7], 'e2': [1, 2, 4, 7], 'e3': [2, 5, 7]}","[[1, 3], [1, 4], [1, 5], [1, 6], [1, 8], [2, 5], [3, 4], [3, 5], [3, 6], [3, 8], [4, 5], [4, 6], [4, 8], [5, 6], [5, 7], [5, 8], [6, 8]]","[[1, 3], [1, 4], [1, 5], [1, 6], [1, 8], [2, 5], [3, 4], [3, 5], [3, 6], [3, 8], [4, 5], [4, 6], [4, 8], [5, 6], [5, 7], [5, 8], [6, 8]]"
39,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 6, 7], 'e2': [1, 3, 4], 'e3': [5, 8]}","[[1, 2], [1, 3], [1, 4], [1, 6], [1, 7], [2, 3], [2, 4], [2, 6], [2, 7], [3, 4], [3, 6], [3, 7], [4, 6], [4, 7], [5, 8], [6, 7]]","[[1, 2], [1, 3], [1, 4], [1, 6], [1, 7], [2, 3], [2, 4], [2, 6], [2, 7], [3, 4], [3, 6], [3, 7], [4, 6], [4, 7], [5, 8], [6, 7]]"
40,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 6, 8], 'e2': [1, 2, 6], 'e3': [2, 7]}","[[1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 7], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]","[[1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 7], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]"
41,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 6, 8], 'e2': [2, 3, 5, 6], 'e3': [2, 5]}","[[1, 4], [1, 5], [1, 7], [1, 8], [2, 5], [3, 5], [4, 5], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [7, 8]]","[[1, 4], [1, 5], [1, 7], [1, 8], [2, 5], [3, 5], [4, 5], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [7, 8]]"
42,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 6], 'e2': [1, 4, 6], 'e3': [1, 7]}","[[1, 7], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]","[[1, 7], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]"
43,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 7, 8], 'e2': [1, 5, 6], 'e3': [1, 5]}","[[2, 3], [2, 4], [2, 7], [2, 8], [3, 4], [3, 7], [3, 8], [4, 7], [4, 8], [5, 6], [7, 8]]","[[2, 3], [2, 4], [2, 7], [2, 8], [3, 4], [3, 7], [3, 8], [4, 7], [4, 8], [5, 6], [7, 8]]"
44,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 7, 8], 'e2': [1, 7]}","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]"
45,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 7, 8], 'e2': [4, 6, 7], 'e3': [1, 3, 8]}","[[1, 2], [1, 3], [1, 5], [1, 8], [2, 3], [2, 5], [2, 6], [2, 8], [3, 5], [3, 8], [4, 6], [5, 6], [5, 8], [6, 7]]","[[1, 2], [1, 3], [1, 5], [1, 8], [2, 3], [2, 5], [2, 6], [2, 8], [3, 5], [3, 8], [4, 6], [5, 6], [5, 8], [6, 7]]"
46,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 7, 8], 'e2': [4, 6, 8], 'e3': [4, 6]}","[[1, 2], [1, 3], [1, 5], [1, 6], [1, 7], [2, 3], [2, 5], [2, 6], [2, 7], [3, 5], [3, 6], [3, 7], [4, 6], [5, 6], [5, 7], [6, 7], [6, 8]]","[[1, 2], [1, 3], [1, 5], [1, 6], [1, 7], [2, 3], [2, 5], [2, 6], [2, 7], [3, 5], [3, 6], [3, 7], [4, 6], [5, 6], [5, 7], [6, 7], [6, 8]]"
47,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 7], 'e2': [1, 3, 4], 'e3': [1, 2, 3]}","[[1, 2], [1, 4], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 4], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]","[[1, 2], [1, 4], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 4], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]"
48,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 7], 'e2': [1, 3, 4], 'e3': [4, 5, 8]}","[[1, 2], [1, 3], [1, 6], [1, 7], [2, 3], [2, 6], [2, 7], [3, 6], [3, 7], [5, 6], [5, 8], [6, 7], [6, 8]]","[[1, 2], [1, 3], [1, 6], [1, 7], [2, 3], [2, 6], [2, 7], [3, 6], [3, 7], [5, 6], [5, 8], [6, 7], [6, 8]]"
49,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4, 7], 'e2': [2, 4, 8], 'e3': [3, 5, 6]}","[[1, 7], [1, 8], [2, 8], [4, 8], [5, 6], [7, 8]]","[[1, 7], [1, 8], [2, 8], [4, 8], [5, 6], [7, 8]]"
50,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 4], 'e2': [4, 5, 7, 8], 'e3': [1, 4]}","[[1, 2], [1, 3], [1, 6], [2, 3], [2, 6], [3, 6], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]","[[1, 2], [1, 3], [1, 6], [2, 3], [2, 6], [3, 6], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]"
51,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 5, 6, 7, 8], 'e2': [1, 2, 4, 5, 6]}","[[1, 4], [2, 4], [3, 4], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [7, 8]]","[[1, 4], [2, 4], [3, 4], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [7, 8]]"
52,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 5, 6, 7, 8], 'e2': [4, 6, 7]}","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 8], [2, 3], [2, 4], [2, 5], [2, 8], [3, 4], [3, 5], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 8]]","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 8], [2, 3], [2, 4], [2, 5], [2, 8], [3, 4], [3, 5], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 8]]"
53,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 5, 6, 7], 'e2': [1, 2, 6, 7], 'e3': [4, 5]}","[[1, 2], [1, 3], [1, 6], [1, 7], [1, 8], [2, 3], [2, 6], [2, 7], [2, 8], [3, 4], [3, 6], [3, 7], [3, 8], [4, 5], [4, 8], [6, 7], [6, 8], [7, 8]]","[[1, 2], [1, 3], [1, 6], [1, 7], [1, 8], [2, 3], [2, 6], [2, 7], [2, 8], [3, 4], [3, 6], [3, 7], [3, 8], [4, 5], [4, 8], [6, 7], [6, 8], [7, 8]]"
54,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 5, 6, 7], 'e2': [4, 6, 8], 'e3': [3, 6]}","[[1, 2], [1, 3], [1, 5], [1, 7], [2, 3], [2, 5], [2, 7], [3, 5], [3, 7], [4, 8], [5, 7]]","[[1, 2], [1, 3], [1, 5], [1, 7], [2, 3], [2, 5], [2, 7], [3, 5], [3, 7], [4, 8], [5, 7]]"
55,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 5, 6, 8], 'e2': [1, 2, 7, 8], 'e3': [4, 7]}","[[3, 5], [3, 6], [4, 7], [5, 6]]","[[3, 5], [3, 6], [4, 7], [5, 6]]"
56,"{'e0': [1, 2, 3, 4, 5, 6, 7, 8], 'e1': [1, 2, 3, 5, 6, 8], 'e2': [1, 3, 6, 8], 'e3': [1, 6]}","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]","[[1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [4, 5], [4, 6], [4, 7], [4, 8], [5, 6], [5, 7], [5, 8], [6, 7], [6, 8], [7, 8]]"
