,hypergraph,line_chordal,line_regular,line_complete,dual_graph,dual_alpha,dual_beta,dual_line_chordal,dual_line_regular,dual_line_complete
10,"{""e0"": [1, 10, 12, 2, 4, 5, 6, 7, 8, 9], ""e1"": [11, 2, 3, 5, 6, 7, 8, 9], ""e2"": [2, 3, 5, 6, 9], ""e3"": [12, 4, 6, 7]}",True,True,True,"{""1"": [""e0""], ""2"": [""e0"", ""e1"", ""e2""], ""3"": [""e1"", ""e2""], ""4"": [""e0"", ""e3""], ""5"": [""e0"", ""e1"", ""e2""], ""6"": [""e0"", ""e1"", ""e3""], ""7"": [""e0"", ""e1"", ""e3""], ""8"": [""e1""], ""9"": [""e0"", ""e1"", ""e2""], ""10"": [""e0""], ""11"": [""e1""], ""12"": [""e0"", ""e3""]}",True,True,True,False,False
11,"{""e0"": [1, 10, 12, 3, 4, 5, 6, 7, 8, 9], ""e1"": [1, 10, 12, 3, 4, 5, 7, 8], ""e2"": [1, 10, 2, 3, 9], ""e3"": [11, 3, 5, 8]}",True,True,True,"{""1"": [""e0"", ""e1"", ""e2""], ""2"": [""e2""], ""3"": [""e3""], ""4"": [""e0"", ""e1""], ""5"": [""e0"", ""e1"", ""e3""], ""6"": [""e0""], ""7"": [""e0"", ""e1""], ""8"": [""e0"", ""e1"", ""e3""], ""9"": [""e0"", ""e2""], ""10"": [""e0"", ""e1"", ""e2""], ""11"": [""e3""], ""12"": [""e0"", ""e1""]}",True,True,True,False,False
12,"{""e0"": [1, 10, 2, 3, 4, 5, 6, 7, 8, 9], ""e1"": [10, 11, 12, 4, 5, 7, 8, 9], ""e2"": [10, 3, 6, 8, 9], ""e3"": [10, 4, 7, 9]}",True,True,True,"{""1"": [""e0""], ""2"": [""e0""], ""3"": [""e0"", ""e2""], ""4"": [""e0"", ""e1"", ""e3""], ""5"": [""e0"", ""e1""], ""6"": [""e0"", ""e2""], ""7"": [""e0"", ""e1"", ""e3""], ""8"": [""e0"", ""e1"", ""e2""], ""9"": [""e0"", ""e1"", ""e2"", ""e3""], ""10"": [""e0"", ""e1"", ""e2"", ""e3""], ""11"": [""e1""], ""12"": [""e1""]}",True,True,True,False,False
13,"{""e0"": [1, 11, 12, 2, 3, 4, 5, 6, 8, 9], ""e1"": [1, 10, 11, 12, 3, 4, 6, 9], ""e2"": [11, 2, 3, 5, 9], ""e3"": [11, 3, 7, 9]}",True,True,True,"{""1"": [""e0"", ""e1""], ""2"": [""e0"", ""e2""], ""3"": [""e0"", ""e1"", ""e2"", ""e3""], ""4"": [""e0"", ""e1""], ""5"": [""e0"", ""e2""], ""6"": [""e0"", ""e1""], ""7"": [], ""8"": [], ""9"": [""e0"", ""e1"", ""e2"", ""e3""], ""10"": [], ""11"": [""e0"", ""e1"", ""e2"", ""e3""], ""12"": [""e0"", ""e1""]}",True,True,True,False,False
14,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 6, 7], ""e2"": [1, 2, 4, 5, 6, 7, 8]}",True,True,True,"{""1"": [""e0"", ""e1"", ""e2""], ""2"": [""e0"", ""e1"", ""e2""], ""3"": [""e0""], ""4"": [""e0"", ""e1"", ""e2""], ""5"": [""e0"", ""e1"", ""e2""], ""6"": [""e0"", ""e1"", ""e2""], ""7"": [""e0"", ""e1"", ""e2""], ""8"": [""e0""]}",True,True,True,True,True
15,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 6, 7], ""e2"": [1, 2, 4, 7, 8], ""e3"": [1, 2, 3]}",True,True,True,"{""1"": [""e0"", ""e1"", ""e2"", ""e3""], ""2"": [""e0"", ""e1"", ""e2"", ""e3""], ""3"": [""e0"", ""e1""], ""4"": [""e0"", ""e1"", ""e2""], ""5"": [""e0"", ""e1""], ""6"": [""e0"", ""e1""], ""7"": [""e0"", ""e1"", ""e2""], ""8"": []}",True,True,True,True,True
16,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 6, 7], ""e2"": [1, 2, 5, 6, 7], ""e3"": [4, 5, 6]}",True,True,True,"{""1"": [""e0"", ""e1"", ""e2""], ""2"": [""e0"", ""e1"", ""e2""], ""3"": [""e0"", ""e1""], ""4"": [""e0"", ""e1"", ""e3""], ""5"": [""e0"", ""e1"", ""e2"", ""e3""], ""6"": [""e0"", ""e1"", ""e2"", ""e3""], ""7"": [""e0"", ""e1"", ""e2""], ""8"": []}",True,True,True,True,True
17,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 6, 7], ""e2"": [1, 2, 7], ""e3"": [2, 3, 7]}",True,True,True,"{""1"": [""e0"", ""e1"", ""e2""], ""2"": [""e0"", ""e1"", ""e2"", ""e3""], ""3"": [""e0"", ""e1""], ""4"": [""e0"", ""e1""], ""5"": [""e0"", ""e1""], ""6"": [""e0"", ""e1""], ""7"": [""e0"", ""e1"", ""e2"", ""e3""], ""8"": []}",True,True,True,True,True
18,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 6, 7], ""e2"": [3, 4, 6, 7, 8], ""e3"": [1, 2, 8]}",True,True,True,"{""1"": [""e0"", ""e1"", ""e3""], ""2"": [""e0"", ""e1"", ""e3""], ""3"": [""e0"", ""e1"", ""e2""], ""4"": [""e0"", ""e1"", ""e2""], ""5"": [""e0""], ""6"": [""e0"", ""e1"", ""e2""], ""7"": [""e0"", ""e1"", ""e2""], ""8"": [""e0""]}",True,False,True,True,True
19,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 6, 7], ""e2"": [3, 4, 6, 7, 8], ""e3"": [5, 7, 8]}",True,True,True,"{""1"": [""e0"", ""e1""], ""2"": [""e0"", ""e1""], ""3"": [""e0"", ""e1"", ""e2""], ""4"": [""e0"", ""e1"", ""e2""], ""5"": [""e0"", ""e1"", ""e3""], ""6"": [""e0"", ""e1"", ""e2""], ""7"": [""e0"", ""e2"", ""e3""], ""8"": [""e0"", ""e2"", ""e3""]}",True,False,True,True,True
20,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 6, 8], ""e2"": [1, 3, 4, 5]}",True,True,True,"{""1"": [""e0"", ""e1"", ""e2""], ""2"": [""e0"", ""e1""], ""3"": [""e0"", ""e1"", ""e2""], ""4"": [""e0"", ""e1"", ""e2""], ""5"": [""e0"", ""e1"", ""e2""], ""6"": [""e0"", ""e1""], ""7"": [], ""8"": [""e0"", ""e1""]}",True,True,True,True,True
21,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 6, 8], ""e2"": [1, 7, 8], ""e3"": [1, 4, 7]}",True,True,True,"{""1"": [""e0"", ""e1"", ""e2""], ""2"": [""e0"", ""e1""], ""3"": [""e0"", ""e1""], ""4"": [""e0"", ""e1"", ""e3""], ""5"": [""e0"", ""e1""], ""6"": [""e0"", ""e1""], ""7"": [""e0"", ""e2"", ""e3""], ""8"": [""e0"", ""e1"", ""e2""]}",True,False,True,True,True
22,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 6, 8], ""e2"": [2, 4]}",True,True,True,"{""1"": [""e0"", ""e1""], ""2"": [""e0"", ""e1"", ""e2""], ""3"": [""e0"", ""e1""], ""4"": [""e0"", ""e1"", ""e2""], ""5"": [""e0"", ""e1""], ""6"": [""e0"", ""e1""], ""7"": [], ""8"": [""e0"", ""e1""]}",True,True,True,True,True
23,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 6], ""e2"": [2, 4, 7, 8], ""e3"": [1, 5, 6]}",True,False,False,"{""1"": [""e0"", ""e1"", ""e3""], ""2"": [""e0"", ""e1"", ""e2""], ""3"": [""e0""], ""4"": [""e0"", ""e1"", ""e2""], ""5"": [""e0"", ""e1"", ""e3""], ""6"": [""e0"", ""e1"", ""e3""], ""7"": [""e0"", ""e2""], ""8"": [""e0"", ""e2""]}",True,True,True,True,True
24,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 6], ""e2"": [2, 7, 8], ""e3"": [5, 8]}",True,True,True,"{""1"": [""e0"", ""e1""], ""2"": [""e0"", ""e1"", ""e2""], ""3"": [""e0"", ""e1""], ""4"": [""e0"", ""e1""], ""5"": [""e0"", ""e1"", ""e3""], ""6"": [""e0"", ""e1""], ""7"": [""e0"", ""e2""], ""8"": [""e0"", ""e2"", ""e3""]}",False,False,True,True,True
25,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 7, 8], ""e2"": [1, 2, 3, 4, 5], ""e3"": [2, 7, 8]}",True,True,True,"{""1"": [""e0"", ""e1"", ""e2""], ""2"": [""e0"", ""e1"", ""e3""], ""3"": [""e0"", ""e1"", ""e2""], ""4"": [""e0"", ""e1"", ""e2""], ""5"": [""e0"", ""e1"", ""e2""], ""6"": [], ""7"": [""e0"", ""e1"", ""e3""], ""8"": [""e0"", ""e1"", ""e3""]}",True,True,True,True,True
26,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 7, 8], ""e2"": [2, 3, 5, 6, 8], ""e3"": [2, 3, 6]}",True,True,True,"{""1"": [""e0"", ""e1""], ""2"": [""e0"", ""e1"", ""e2"", ""e3""], ""3"": [""e0"", ""e1"", ""e2"", ""e3""], ""4"": [""e0"", ""e1""], ""5"": [""e0"", ""e1"", ""e2""], ""6"": [], ""7"": [""e0"", ""e1""], ""8"": [""e0"", ""e1"", ""e2""]}",True,True,True,True,True
27,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 7, 8], ""e2"": [2, 3, 5, 6, 8], ""e3"": [4, 5, 7]}",True,True,True,"{""1"": [""e0"", ""e1""], ""2"": [""e0"", ""e1"", ""e2""], ""3"": [""e0"", ""e1"", ""e2""], ""4"": [""e0"", ""e1"", ""e3""], ""5"": [""e0"", ""e2""], ""6"": [""e0"", ""e2""], ""7"": [""e0"", ""e1"", ""e3""], ""8"": [""e0"", ""e1"", ""e2""]}",True,True,True,True,True
28,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 7], ""e2"": [1, 2, 6, 8], ""e3"": [3, 5, 8]}",True,True,True,"{""1"": [""e0"", ""e1"", ""e2""], ""2"": [""e0"", ""e1"", ""e2""], ""3"": [""e0"", ""e1"", ""e3""], ""4"": [""e0"", ""e1""], ""5"": [""e0"", ""e1"", ""e3""], ""6"": [""e0"", ""e2""], ""7"": [""e0"", ""e1""], ""8"": [""e0"", ""e2""]}",True,False,True,True,True
29,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 7], ""e2"": [2, 4, 5, 7], ""e3"": [1, 3]}",True,False,False,"{""1"": [""e0"", ""e1"", ""e3""], ""2"": [""e0"", ""e1"", ""e2""], ""3"": [""e0"", ""e1"", ""e3""], ""4"": [""e0"", ""e1"", ""e2""], ""5"": [""e0"", ""e1"", ""e2""], ""6"": [""e0""], ""7"": [""e0"", ""e1"", ""e2""], ""8"": [""e0""]}",True,True,True,True,True
30,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 8], ""e2"": [1, 2, 8], ""e3"": [3, 4, 5]}",True,False,False,"{""1"": [""e0"", ""e1"", ""e2""], ""2"": [""e0"", ""e1"", ""e2""], ""3"": [""e0"", ""e1"", ""e3""], ""4"": [""e0"", ""e1"", ""e3""], ""5"": [""e0"", ""e1"", ""e3""], ""6"": [""e0""], ""7"": [""e0""], ""8"": [""e0"", ""e1"", ""e2""]}",True,True,True,True,True
31,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 8], ""e2"": [2, 5, 6, 7], ""e3"": [2, 6, 7]}",True,True,True,"{""1"": [""e0"", ""e1""], ""2"": [""e0"", ""e2"", ""e3""], ""3"": [""e0"", ""e1""], ""4"": [""e0"", ""e1""], ""5"": [""e0"", ""e1"", ""e2""], ""6"": [""e0"", ""e2"", ""e3""], ""7"": [""e0"", ""e2"", ""e3""], ""8"": [""e0"", ""e1""]}",True,True,True,True,True
32,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 8], ""e2"": [3, 7, 8], ""e3"": [1, 7, 8]}",True,True,True,"{""1"": [""e0"", ""e1"", ""e3""], ""2"": [""e0"", ""e1""], ""3"": [""e0"", ""e1"", ""e2""], ""4"": [""e0"", ""e1""], ""5"": [""e0"", ""e1""], ""6"": [""e0""], ""7"": [""e0"", ""e2"", ""e3""], ""8"": [""e0"", ""e2"", ""e3""]}",True,False,True,True,True
33,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5], ""e2"": [1, 4, 6], ""e3"": [1, 3, 8]}",True,True,True,"{""1"": [""e0"", ""e3""], ""2"": [""e0"", ""e1""], ""3"": [""e0"", ""e1"", ""e3""], ""4"": [""e0"", ""e1"", ""e2""], ""5"": [""e0"", ""e1""], ""6"": [""e0"", ""e2""], ""7"": [], ""8"": [""e0"", ""e3""]}",True,True,True,True,True
34,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 6, 7, 8], ""e2"": [1, 2, 5, 7]}",True,True,True,"{""1"": [""e0"", ""e1"", ""e2""], ""2"": [""e0"", ""e1"", ""e2""], ""3"": [""e0"", ""e1""], ""4"": [""e0"", ""e1""], ""5"": [], ""6"": [""e0"", ""e1""], ""7"": [""e0"", ""e1"", ""e2""], ""8"": [""e0"", ""e1""]}",True,True,True,True,True
35,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 6, 7, 8], ""e2"": [2, 3, 5, 6, 8], ""e3"": [2, 3, 6]}",True,True,True,"{""1"": [""e0"", ""e1""], ""2"": [""e0"", ""e1"", ""e2"", ""e3""], ""3"": [""e0"", ""e1"", ""e2"", ""e3""], ""4"": [""e0"", ""e1""], ""5"": [""e0"", ""e2""], ""6"": [""e0"", ""e1"", ""e2"", ""e3""], ""7"": [""e0"", ""e1""], ""8"": [""e0"", ""e2""]}",True,True,True,True,True
36,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 6, 7, 8], ""e2"": [2, 3, 6, 7, 8]}",True,True,True,"{""1"": [""e0"", ""e1""], ""2"": [""e0"", ""e1"", ""e2""], ""3"": [""e0"", ""e1"", ""e2""], ""4"": [""e0"", ""e1""], ""5"": [], ""6"": [""e0"", ""e1"", ""e2""], ""7"": [""e0"", ""e1"", ""e2""], ""8"": [""e0"", ""e1"", ""e2""]}",True,True,True,True,True
37,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 6, 7, 8], ""e2"": [3, 4, 8]}",True,True,True,"{""1"": [""e0"", ""e1""], ""2"": [""e0"", ""e1""], ""3"": [""e0"", ""e1"", ""e2""], ""4"": [""e0"", ""e1"", ""e2""], ""5"": [], ""6"": [""e0"", ""e1""], ""7"": [""e0"", ""e1""], ""8"": [""e0"", ""e1"", ""e2""]}",True,True,True,True,True
38,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 6, 7], ""e2"": [1, 2, 4, 7], ""e3"": [2, 5, 7]}",True,True,True,"{""1"": [""e0"", ""e1"", ""e2""], ""2"": [""e0"", ""e1"", ""e2"", ""e3""], ""3"": [""e0"", ""e1""], ""4"": [""e0"", ""e1"", ""e2""], ""5"": [""e0""], ""6"": [""e0"", ""e1""], ""7"": [""e0"", ""e1"", ""e2"", ""e3""], ""8"": [""e0""]}",True,True,True,True,True
39,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 6, 7], ""e2"": [1, 3, 4], ""e3"": [5, 8]}",True,False,False,"{""1"": [""e0"", ""e1"", ""e2""], ""2"": [""e0"", ""e1""], ""3"": [""e0"", ""e1"", ""e2""], ""4"": [""e0"", ""e1"", ""e2""], ""5"": [""e0"", ""e3""], ""6"": [""e0"", ""e1""], ""7"": [""e0"", ""e1""], ""8"": [""e0"", ""e3""]}",True,True,True,True,True
40,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 6, 8], ""e2"": [1, 2, 6], ""e3"": [2, 7]}",True,True,True,"{""1"": [""e0"", ""e1"", ""e2""], ""2"": [""e0"", ""e3""], ""3"": [""e0"", ""e1""], ""4"": [""e0"", ""e1""], ""5"": [], ""6"": [""e0"", ""e1"", ""e2""], ""7"": [""e0"", ""e3""], ""8"": [""e0"", ""e1""]}",True,True,True,True,True
41,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 6, 8], ""e2"": [2, 3, 5, 6], ""e3"": [2, 5]}",True,True,True,"{""1"": [""e0"", ""e1""], ""2"": [""e0"", ""e2"", ""e3""], ""3"": [""e0"", ""e1"", ""e2""], ""4"": [""e0"", ""e1""], ""5"": [""e0"", ""e2"", ""e3""], ""6"": [""e0"", ""e1"", ""e2""], ""7"": [], ""8"": [""e0"", ""e1""]}",True,True,True,True,True
42,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 6], ""e2"": [1, 4, 6], ""e3"": [1, 7]}",True,True,True,"{""1"": [""e0"", ""e3""], ""2"": [""e0"", ""e1""], ""3"": [""e0"", ""e1""], ""4"": [""e0"", ""e1"", ""e2""], ""5"": [""e0""], ""6"": [""e0"", ""e1"", ""e2""], ""7"": [""e0"", ""e3""], ""8"": [""e0""]}",True,True,True,True,True
43,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 7, 8], ""e2"": [1, 5, 6], ""e3"": [1, 5]}",True,True,True,"{""1"": [""e0"", ""e2"", ""e3""], ""2"": [""e0"", ""e1""], ""3"": [""e0"", ""e1""], ""4"": [""e0"", ""e1""], ""5"": [""e0"", ""e2"", ""e3""], ""6"": [], ""7"": [""e0"", ""e1""], ""8"": [""e0"", ""e1""]}",True,True,True,True,True
44,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 7, 8], ""e2"": [1, 7]}",True,True,True,"{""1"": [""e0"", ""e1"", ""e2""], ""2"": [""e0"", ""e1""], ""3"": [""e0"", ""e1""], ""4"": [""e0"", ""e1""], ""5"": [""e0""], ""6"": [""e0""], ""7"": [""e0"", ""e1"", ""e2""], ""8"": [""e0"", ""e1""]}",True,True,True,True,True
45,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 7, 8], ""e2"": [4, 6, 7], ""e3"": [1, 3, 8]}",True,False,False,"{""1"": [""e0"", ""e1"", ""e3""], ""2"": [""e0"", ""e1""], ""3"": [""e0"", ""e1"", ""e3""], ""4"": [""e0"", ""e1"", ""e2""], ""5"": [""e0""], ""6"": [""e0""], ""7"": [""e0"", ""e1"", ""e2""], ""8"": [""e0"", ""e1"", ""e3""]}",True,True,True,True,True
46,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 7, 8], ""e2"": [4, 6, 8], ""e3"": [4, 6]}",True,True,True,"{""1"": [""e0"", ""e1""], ""2"": [""e0"", ""e1""], ""3"": [""e0"", ""e1""], ""4"": [""e0"", ""e1"", ""e2""], ""5"": [""e0""], ""6"": [""e0"", ""e2"", ""e3""], ""7"": [""e0"", ""e1""], ""8"": [""e0"", ""e1"", ""e2""]}",True,True,True,True,True
47,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 7], ""e2"": [1, 3, 4], ""e3"": [1, 2, 3]}",True,True,True,"{""1"": [""e0"", ""e1"", ""e2"", ""e3""], ""2"": [""e0"", ""e1""], ""3"": [""e0"", ""e1"", ""e2"", ""e3""], ""4"": [""e0"", ""e1""], ""5"": [""e0""], ""6"": [""e0""], ""7"": [""e0"", ""e1""], ""8"": [""e0""]}",True,True,True,True,True
