,hypergraph,one
19,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 4, 7, 8], [4, 6, 8], [4, 6]]",1
20,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 4, 7], [1, 3, 4], [1, 2, 3]]",1
21,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 4, 7], [1, 3, 4], [4, 5, 8]]",1
22,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 4, 7], [2, 4, 8], [3, 5, 6]]",1
23,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 4], [4, 5, 7, 8], [1, 4]]",1
24,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 5, 6, 7], [1, 2, 6, 7], [4, 5]]",1
25,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 5, 6, 7], [4, 6, 8], [3, 6]]",1
26,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 5, 6, 8], [1, 2, 7, 8], [4, 7]]",1
27,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 5, 6, 8], [1, 3, 6, 8], [1, 6]]",1
28,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 5, 6, 8], [3, 5, 6, 8], [3, 5, 8]]",1
29,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 5, 6, 8], [4, 5, 8], [1, 2, 7]]",1
30,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 5, 7, 8], [1, 3, 5, 8], [4, 5]]",1
31,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 5, 7, 8], [2, 5, 6, 7], [5, 6, 7]]",1
32,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 5, 7, 8], [2, 6, 7], [2, 3]]",1
33,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 5], [3, 4, 7], [4, 6]]",1
34,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 5], [4, 5, 7], [4, 5]]",1
35,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 6, 7, 8], [1, 3, 5, 7], [4, 8]]",1
36,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 6, 7, 8], [1, 3, 6, 8], [3, 4, 5]]",1
37,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 6, 7], [4, 5, 8], [5, 7]]",1
38,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 7], [1, 4, 7], [4, 7]]",1
39,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 8], [2, 4, 8], [2, 4, 5]]",1
40,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 3, 8], [4, 5, 6, 8], [7, 8]]",1
41,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 4, 5, 6, 7, 8], [2, 6, 7], [3, 5, 8]]",1
42,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 4, 5, 6, 7, 8], [5, 6, 7], [1, 3, 6]]",1
43,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 4, 5, 6, 7], [2, 4, 5], [1, 6]]",1
44,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 4, 5, 6, 7], [3, 5, 7, 8], [5, 7, 8]]",1
45,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 4, 5, 7, 8], [1, 2, 5, 8], [3, 6]]",1
46,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 4, 5, 7, 8], [1, 5, 6, 7], [4, 8]]",1
47,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 4, 5, 7, 8], [3, 4, 6, 7], [7, 8]]",1
48,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 4, 5, 7, 8], [3, 5, 6, 8], [5, 8]]",1
49,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 4, 5, 7, 8], [5, 6, 7], [3, 5]]",1
50,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 4, 5, 8], [2, 5, 8], [1, 4]]",1
51,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 4, 5], [1, 3, 7, 8], [5, 6]]",1
52,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 4, 5], [2, 4, 7], [5, 6]]",1
53,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 4, 6, 7, 8], [1, 2, 4, 6], [4, 7, 8]]",1
54,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 4, 7, 8], [3, 4, 8], [3, 5]]",1
55,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 4, 7], [3, 4, 8], [3, 8]]",1
56,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 4, 8], [1, 2, 3, 4], [1, 4]]",1
57,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 4, 8], [1, 2, 4], [1, 5, 8]]",1
58,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 4], [1, 2, 7], [1, 5, 6]]",1
59,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 5, 6, 7, 8], [2, 4, 6], [2, 6, 7]]",1
60,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 5, 6, 7, 8], [3, 5, 8], [3, 4, 8]]",1
61,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 5, 6, 8], [3, 4, 7], [2, 5, 8]]",1
62,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 5, 7, 8], [1, 2, 7], [3, 6]]",1
63,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 5, 8], [1, 5, 8], [2, 4, 7]]",1
64,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 6, 7, 8], [1, 4, 6], [3, 8]]",1
65,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 6, 7], [3, 5, 8], [2, 5]]",1
66,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 6, 7], [4, 5, 8], [2, 6, 7]]",1
67,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 2, 8], [5, 7, 8], [3, 4, 6]]",1
68,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 5, 6, 7, 8], [1, 3, 5, 6, 7], [2, 3, 7]]",1
69,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 5, 6, 7, 8], [1, 4, 6], [3, 7, 8]]",1
70,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 5, 6, 7, 8], [1, 4, 7], [1, 3, 6]]",1
71,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 5, 6, 7], [1, 2, 7], [3, 5]]",1
72,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 5, 6, 7], [1, 3, 6, 8], [3, 6]]",1
73,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 5, 6, 7], [1, 4, 6, 8], [2, 3, 5]]",1
74,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 5, 6, 7], [1, 5, 7, 8], [2, 4, 7]]",1
75,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 5, 6, 7], [2, 4, 8], [1, 4, 7]]",1
76,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 5, 6, 7], [3, 5, 7, 8], [3, 4, 5]]",1
77,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 5, 6, 8], [1, 2, 3, 7], [1, 6, 8]]",1
78,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 5, 6, 8], [3, 4, 6, 8], [2, 5, 7]]",1
79,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 5, 6], [2, 7, 8], [1, 5, 7]]",1
80,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 5, 6], [3, 6, 7], [2, 4, 5]]",1
81,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 5, 7, 8], [1, 2, 3, 5], [1, 3, 6]]",1
82,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 5, 7, 8], [1, 2, 3, 5], [1, 6]]",1
83,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 5, 7, 8], [1, 3, 5, 7], [2, 4, 8]]",1
84,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 5, 7, 8], [1, 3, 7], [5, 6]]",1
85,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 5, 7, 8], [5, 6, 7, 8], [2, 6, 7]]",1
86,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 5, 7], [3, 7, 8], [1, 4, 5]]",1
87,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 5, 8], [4, 6, 7], [2, 7]]",1
88,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 5], [2, 3, 5], [1, 3]]",1
89,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 5], [2, 3, 7], [6, 8]]",1
90,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 5], [3, 4, 5], [4, 7]]",1
91,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 6, 7, 8], [1, 2, 5], [2, 5]]",1
92,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 6, 7, 8], [1, 4, 6, 7], [3, 4, 7]]",1
93,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 6, 7, 8], [1, 6, 7], [1, 4, 8]]",1
94,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 6, 7, 8], [2, 5, 7], [3, 6]]",1
95,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 6, 7], [3, 5, 8], [5, 8]]",1
96,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 6], [2, 3, 5], [1, 7, 8]]",1
97,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 7, 8], [2, 7, 8], [5, 6, 7]]",1
98,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 4, 8], [1, 2, 4], [2, 7]]",1
99,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 5, 6, 7, 8], [1, 4, 5, 7], [7, 8]]",1
100,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 5, 6, 7, 8], [1, 6, 8], [2, 3, 4]]",1
101,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 5, 6, 7, 8], [2, 3, 4, 6], [1, 8]]",1
102,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 5, 6, 7], [1, 3, 8], [5, 7]]",1
103,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 5, 6, 7], [3, 6, 7], [3, 7]]",1
104,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 5, 6], [4, 7, 8], [2, 3, 7]]",1
105,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 5, 7, 8], [1, 2, 6], [1, 2]]",1
106,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 5, 7, 8], [2, 4, 7], [1, 7]]",1
107,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 5, 7], [1, 3, 7], [2, 6]]",1
108,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 5, 7], [2, 4, 6, 8], [2, 4]]",1
109,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 5, 8], [2, 6, 7], [1, 4]]",1
110,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 5, 8], [3, 5, 8], [1, 7]]",1
111,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 6, 7, 8], [1, 2, 6], [2, 6]]",1
112,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 6, 7], [1, 4, 8], [1, 2]]",1
113,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 3, 7, 8], [4, 7, 8], [2, 6, 7]]",1
114,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 4, 5, 6, 7, 8], [2, 4, 5], [5, 7, 8]]",1
115,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 4, 5, 6, 7, 8], [3, 4, 8], [2, 4, 8]]",1
116,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 4, 5, 6, 7], [1, 3, 4], [2, 4]]",1
117,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 4, 5, 7, 8], [1, 2, 3], [5, 7]]",1
118,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 4, 5, 7, 8], [2, 5, 7], [3, 6]]",1
119,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 4, 5, 7], [2, 5, 7, 8], [6, 7]]",1
120,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 4, 5, 8], [3, 4, 7, 8], [5, 6]]",1
121,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 4, 6, 7], [1, 5, 6, 7], [3, 8]]",1
122,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 4, 6, 7], [3, 4, 5, 6], [3, 5]]",1
123,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 4, 6, 8], [1, 3, 5], [1, 6]]",1
124,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 4, 6, 8], [2, 5, 7], [2, 7]]",1
125,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 4, 7, 8], [1, 3, 8], [2, 3, 5]]",1
126,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 4, 7, 8], [1, 4, 7], [4, 7, 8]]",1
127,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 5, 6, 7], [1, 2, 7], [1, 7]]",1
128,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 5, 6, 7], [1, 3, 5, 6], [3, 5]]",1
129,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 5, 6, 7], [2, 3, 8], [3, 4]]",1
130,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 5, 6, 8], [1, 5, 6], [6, 8]]",1
131,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 5, 6, 8], [2, 3, 7], [4, 5, 6]]",1
132,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 6, 7, 8], [1, 2, 3, 7], [1, 7]]",1
133,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 6, 7], [4, 5, 8], [3, 4, 5]]",1
134,"[[1, 2, 3, 4, 5, 6, 7, 8], [1, 6, 8], [1, 7, 8], [1, 4, 8]]",1
135,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 4, 5, 6, 7, 8], [2, 3, 4, 5, 8], [1, 2, 7]]",1
136,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 4, 5, 6, 7, 8], [2, 3, 4, 6, 8], [2, 3, 6]]",1
137,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 4, 5, 6, 7, 8], [2, 4, 7], [1, 4, 7]]",1
138,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 4, 5, 6, 7], [1, 3, 6, 8], [1, 3]]",1
139,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 4, 5, 6, 7], [1, 4, 6], [4, 6]]",1
140,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 4, 5, 6, 7], [2, 4, 6, 7], [2, 3, 8]]",1
141,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 4, 5, 6, 8], [1, 3, 4, 7], [3, 4, 5]]",1
142,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 4, 5, 6, 8], [3, 4, 6], [4, 6]]",1
143,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 4, 5, 7, 8], [1, 3, 4, 5], [3, 4, 5]]",1
144,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 4, 5], [1, 5, 6], [3, 4, 5]]",1
145,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 4, 6, 7, 8], [1, 3, 6, 8], [2, 4, 6]]",1
146,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 4, 6, 7, 8], [1, 3, 7], [1, 5]]",1
147,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 4, 6, 7, 8], [2, 3, 6, 8], [3, 4]]",1
148,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 4, 6, 7, 8], [2, 4, 7], [3, 4]]",1
149,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 4, 6, 7, 8], [3, 5, 7, 8], [2, 4, 6]]",1
150,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 4, 6, 8], [1, 5, 8], [7, 8]]",1
151,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 4, 7, 8], [1, 5, 6], [4, 5, 6]]",1
152,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 5, 6, 7, 8], [1, 4, 6, 8], [1, 4]]",1
153,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 5, 6, 7, 8], [3, 5, 7], [3, 7, 8]]",1
154,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 5, 6, 7], [2, 3, 5], [7, 8]]",1
155,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 5, 6, 7], [3, 6, 8], [3, 6]]",1
156,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 5, 6], [1, 3, 4, 7], [1, 4]]",1
157,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 5, 6], [1, 3, 4], [5, 7]]",1
158,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 5, 7, 8], [1, 2, 3], [1, 3, 6]]",1
159,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 5, 7, 8], [1, 2, 5], [2, 5, 7]]",1
160,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 5, 8], [1, 5, 7], [4, 5, 6]]",1
161,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 5, 8], [2, 3, 5, 7], [1, 2]]",1
162,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 5], [5, 6, 8], [1, 3, 4]]",1
163,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 6, 7], [2, 4, 5, 7], [2, 4]]",1
164,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 6, 7], [3, 7, 8], [1, 3]]",1
165,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 7, 8], [1, 2, 4], [3, 8]]",1
166,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 7, 8], [1, 3, 7], [5, 6]]",1
167,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 3, 7], [1, 2, 7], [3, 4, 8]]",1
168,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 4, 5, 6, 7], [2, 4, 7], [1, 3, 6]]",1
169,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 4, 5, 7, 8], [1, 5, 6], [3, 7]]",1
170,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 4, 5, 7, 8], [6, 7, 8], [1, 7, 8]]",1
171,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 4, 5, 8], [1, 2, 4, 5], [3, 8]]",1
172,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 4, 6, 8], [3, 6, 7], [3, 5, 7]]",1
173,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 4, 6], [2, 6, 8], [2, 4, 5]]",1
174,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 4, 7, 8], [1, 3, 5, 6], [1, 4]]",1
175,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 5, 6, 7, 8], [1, 3, 4], [1, 4]]",1
176,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 5, 6, 7, 8], [1, 3, 4], [2, 7]]",1
177,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 5, 6, 7, 8], [2, 4, 6], [2, 5]]",1
178,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 5, 6, 7, 8], [2, 5, 7], [2, 8]]",1
179,"[[1, 2, 3, 4, 5, 6, 7, 8], [2, 6, 7], [3, 4, 6], [5, 6, 8]]",1
180,"[[1, 2, 3, 4, 5, 6, 7, 8], [3, 4, 5, 6, 7, 8], [1, 3, 4], [2, 8]]",1
181,"[[1, 2, 3, 4, 5, 6, 7, 8], [3, 4, 5, 6, 7, 8], [1, 3, 5], [2, 5, 8]]",1
182,"[[1, 2, 3, 4, 5, 6, 7, 8], [3, 4, 5, 6, 7], [2, 3, 6], [4, 5, 6]]",1
183,"[[1, 2, 3, 4, 5, 6, 7, 8], [3, 4, 5, 6], [3, 4, 6], [4, 6]]",1
184,"[[1, 2, 3, 4, 5, 6, 7, 8], [3, 4, 5, 7, 8], [2, 6, 8], [1, 2, 8]]",1
185,"[[1, 2, 3, 4, 5, 6, 7, 8], [3, 4, 5, 7], [1, 5, 7, 8], [2, 6]]",1
186,"[[1, 2, 3, 4, 5, 6, 7, 8], [3, 4, 5, 8], [2, 3, 4], [1, 3, 8]]",1
187,"[[1, 2, 3, 4, 5, 6, 7, 8], [3, 4, 6, 7, 8], [3, 4, 7], [6, 7, 8]]",1
188,"[[1, 2, 3, 4, 5, 6, 7, 8], [3, 4, 6, 8], [1, 4, 8], [2, 4, 8]]",1
189,"[[1, 2, 3, 4, 5, 6, 7, 8], [3, 5, 6, 7], [1, 3, 6], [5, 7]]",1
190,"[[1, 2, 3, 4, 5, 6, 7, 8], [3, 5, 6, 7], [1, 4, 8], [6, 7]]",1
191,"[[1, 2, 3, 4, 5, 6, 7, 8], [4, 5, 6, 8], [1, 6, 8], [3, 4, 7]]",1
192,"[[1, 2, 3, 4, 5, 6, 7, 8], [4, 5, 6, 8], [2, 3, 7], [1, 2, 3]]",1
193,"[[1, 2, 3, 4, 5, 6, 7, 8], [4, 5, 6, 8], [4, 6, 7], [1, 5, 8]]",1
194,"[[1, 2, 3, 4, 5, 6, 7, 8], [4, 5, 7, 8], [4, 5, 7], [4, 5, 6]]",1
195,"[[1, 2, 3, 4, 5, 6, 7, 8], [5, 6, 7, 8], [2, 4, 7], [1, 2, 7]]",1
196,"[[1, 2, 3, 4, 5, 6], [1, 2, 3, 4, 5], [1, 2, 3, 4, 6], [1, 2]]",1
197,"[[1, 2, 3, 4, 5, 6], [1, 2, 3, 4, 5], [1, 2, 3, 5], [1, 2, 3, 4]]",1
198,"[[1, 2, 3, 4, 5, 6], [1, 2, 3, 4, 5], [1, 2, 3, 5], [1, 3, 5, 6], [1, 5, 6]]",1
199,"[[1, 2, 3, 4, 5, 6], [1, 2, 3, 4, 5], [1, 2, 5], [2, 3], [4, 6]]",1
200,"[[1, 2, 3, 4, 5, 6], [1, 2, 3, 4, 5], [2, 3, 4, 5, 6], [1, 4, 5]]",1
201,"[[1, 2, 3, 4, 5, 6], [1, 2, 3, 4, 5], [2, 3, 4, 5], [1, 5, 6]]",1
202,"[[1, 2, 3, 4, 5, 6], [1, 2, 3, 4, 5], [2, 3, 4, 5], [1, 6]]",1
203,"[[1, 2, 3, 4, 5, 6], [1, 2, 3, 4, 5], [2, 3, 4, 6], [2, 3]]",1
204,"[[1, 2, 3, 4, 5, 6], [1, 2, 3, 4, 5], [2, 3, 5], [1, 3, 5]]",1
205,"[[1, 2, 3, 4, 5, 6], [1, 2, 3, 4, 5], [2, 6], [2, 5]]",1
206,"[[1, 2, 3, 4, 5, 6], [1, 2, 3, 4, 5], [4, 5, 6], [4, 6]]",1
207,"[[1, 2, 3, 4, 5, 6], [1, 2, 3, 4, 6], [1, 2, 4, 5, 6], [1, 2, 4, 6]]",1
208,"[[1, 2, 3, 4, 5, 6], [1, 2, 3, 4, 6], [1, 2, 4, 5], [3, 6]]",1
209,"[[1, 2, 3, 4, 5, 6], [1, 2, 3, 4, 6], [1, 2, 5], [1, 2]]",1
210,"[[1, 2, 3, 4, 5, 6], [1, 2, 3, 4, 6], [1, 4, 5, 6], [2, 6]]",1
211,"[[1, 2, 3, 4, 5, 6], [1, 2, 3, 4, 6], [1, 5]]",1
212,"[[1, 2, 3, 4, 5, 6], [1, 2, 3, 4], [1, 2, 4, 6], [4, 5, 6]]",1
213,"[[1, 2, 3, 4, 5, 6], [1, 2, 3, 4], [2, 3, 5], [1, 4, 6]]",1
214,"[[1, 2, 3, 4, 5, 6], [1, 2, 3, 4], [2, 3, 6], [3, 5]]",1
215,"[[1, 2, 3, 4, 5, 6], [1, 2, 3, 4], [3, 4]]",1
216,"[[1, 2, 3, 4, 5, 6], [1, 2, 3, 5, 6], [1, 2, 3, 5], [1, 4]]",1
