,hypergraph,hyperedge_sizes,num_hyperedges,num_vertices
23,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 6], ""e2"": [2, 4, 7, 8], ""e3"": [1, 5, 6]}","[8, 6, 4, 3]",4,8
24,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 6], ""e2"": [2, 7, 8], ""e3"": [5, 8]}","[8, 6, 3, 2]",4,8
25,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 7, 8], ""e2"": [1, 2, 3, 4, 5], ""e3"": [2, 7, 8]}","[8, 7, 5, 3]",4,8
26,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 7, 8], ""e2"": [2, 3, 5, 6, 8], ""e3"": [2, 3, 6]}","[8, 7, 5, 3]",4,8
27,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 7, 8], ""e2"": [2, 3, 5, 6, 8], ""e3"": [4, 5, 7]}","[8, 7, 5, 3]",4,8
28,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 7], ""e2"": [1, 2, 6, 8], ""e3"": [3, 5, 8]}","[8, 6, 4, 3]",4,8
29,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 7], ""e2"": [2, 4, 5, 7], ""e3"": [1, 3]}","[8, 6, 4, 2]",4,8
30,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 8], ""e2"": [1, 2, 8], ""e3"": [3, 4, 5]}","[8, 6, 3, 3]",4,8
31,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 8], ""e2"": [2, 5, 6, 7], ""e3"": [2, 6, 7]}","[8, 6, 4, 3]",4,8
32,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5, 8], ""e2"": [3, 7, 8], ""e3"": [1, 7, 8]}","[8, 6, 3, 3]",4,8
33,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 5], ""e2"": [1, 4, 6], ""e3"": [1, 3, 8]}","[8, 5, 3, 3]",4,8
34,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 6, 7, 8], ""e2"": [1, 2, 5, 7]}","[8, 7, 4]",3,8
35,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 6, 7, 8], ""e2"": [2, 3, 5, 6, 8], ""e3"": [2, 3, 6]}","[8, 7, 5, 3]",4,8
36,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 6, 7, 8], ""e2"": [2, 3, 6, 7, 8]}","[8, 7, 5]",3,8
37,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 6, 7, 8], ""e2"": [3, 4, 8]}","[8, 7, 3]",3,8
38,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 6, 7], ""e2"": [1, 2, 4, 7], ""e3"": [2, 5, 7]}","[8, 6, 4, 3]",4,8
39,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 6, 7], ""e2"": [1, 3, 4], ""e3"": [5, 8]}","[8, 6, 3, 2]",4,8
40,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 6, 8], ""e2"": [1, 2, 6], ""e3"": [2, 7]}","[8, 6, 3, 2]",4,8
41,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 6, 8], ""e2"": [2, 3, 5, 6], ""e3"": [2, 5]}","[8, 6, 4, 2]",4,8
42,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 6], ""e2"": [1, 4, 6], ""e3"": [1, 7]}","[8, 5, 3, 2]",4,8
43,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 7, 8], ""e2"": [1, 5, 6], ""e3"": [1, 5]}","[8, 6, 3, 2]",4,8
44,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 7, 8], ""e2"": [1, 7]}","[8, 6, 2]",3,8
45,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 7, 8], ""e2"": [4, 6, 7], ""e3"": [1, 3, 8]}","[8, 6, 3, 3]",4,8
46,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 7, 8], ""e2"": [4, 6, 8], ""e3"": [4, 6]}","[8, 6, 3, 2]",4,8
47,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 7], ""e2"": [1, 3, 4], ""e3"": [1, 2, 3]}","[8, 5, 3, 3]",4,8
48,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 7], ""e2"": [1, 3, 4], ""e3"": [4, 5, 8]}","[8, 5, 3, 3]",4,8
49,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4, 7], ""e2"": [2, 4, 8], ""e3"": [3, 5, 6]}","[8, 5, 3, 3]",4,8
50,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 4], ""e2"": [4, 5, 7, 8], ""e3"": [1, 4]}","[8, 4, 4, 2]",4,8
51,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 5, 6, 7, 8], ""e2"": [1, 2, 4, 5, 6]}","[8, 7, 5]",3,8
52,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 5, 6, 7, 8], ""e2"": [4, 6, 7]}","[8, 7, 3]",3,8
53,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 5, 6, 7], ""e2"": [1, 2, 6, 7], ""e3"": [4, 5]}","[8, 6, 4, 2]",4,8
54,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 5, 6, 7], ""e2"": [4, 6, 8], ""e3"": [3, 6]}","[8, 6, 3, 2]",4,8
55,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 5, 6, 8], ""e2"": [1, 2, 7, 8], ""e3"": [4, 7]}","[8, 6, 4, 2]",4,8
56,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 5, 6, 8], ""e2"": [1, 3, 6, 8], ""e3"": [1, 6]}","[8, 6, 4, 2]",4,8
57,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 5, 6, 8], ""e2"": [3, 5, 6, 8], ""e3"": [3, 5, 8]}","[8, 6, 4, 3]",4,8
58,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 5, 6, 8], ""e2"": [4, 5, 8], ""e3"": [1, 2, 7]}","[8, 6, 3, 3]",4,8
59,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 5, 7, 8], ""e2"": [1, 2, 3, 4, 6, 8]}","[8, 6, 6]",3,8
60,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 5, 7, 8], ""e2"": [1, 3, 4, 7], ""e3"": [4, 5]}","[8, 6, 4, 2]",4,8
61,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 5, 7, 8], ""e2"": [1, 3, 5, 8], ""e3"": [4, 5]}","[8, 6, 4, 2]",4,8
62,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 5, 7, 8], ""e2"": [2, 5, 6, 7], ""e3"": [5, 6, 7]}","[8, 6, 4, 3]",4,8
63,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 5, 7, 8], ""e2"": [2, 6, 7], ""e3"": [2, 3]}","[8, 6, 3, 2]",4,8
64,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 5, 7, 8], ""e2"": [4, 6]}","[8, 6, 2]",3,8
65,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 5, 7], ""e2"": [4, 6, 8]}","[8, 5, 3]",3,8
66,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 5], ""e2"": [3, 4, 7], ""e3"": [4, 6]}","[8, 4, 3, 2]",4,8
67,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 5], ""e2"": [4, 5, 7], ""e3"": [4, 5]}","[8, 4, 3, 2]",4,8
68,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 6, 7, 8], ""e2"": [1, 2, 4], ""e3"": [3, 4]}","[8, 6, 3, 2]",4,8
69,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 6, 7, 8], ""e2"": [1, 3, 5, 7], ""e3"": [4, 8]}","[8, 6, 4, 2]",4,8
70,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 6, 7, 8], ""e2"": [1, 3, 6, 8], ""e3"": [3, 4, 5]}","[8, 6, 4, 3]",4,8
71,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 6, 7], ""e2"": [4, 5, 8], ""e3"": [5, 7]}","[8, 5, 3, 2]",4,8
72,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 6, 8], ""e2"": [4, 5]}","[8, 5, 2]",3,8
73,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 6, 8], ""e2"": [4, 6, 7], ""e3"": [1, 2, 7]}","[8, 5, 3, 3]",4,8
74,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 7], ""e2"": [1, 4, 7], ""e3"": [4, 7]}","[8, 4, 3, 2]",4,8
75,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 8], ""e2"": [1, 3, 6, 7]}","[8, 4, 4]",3,8
76,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 8], ""e2"": [2, 4, 8], ""e3"": [2, 4, 5]}","[8, 4, 3, 3]",4,8
77,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 3, 8], ""e2"": [4, 5, 6, 8], ""e3"": [7, 8]}","[8, 4, 4, 2]",4,8
78,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 4, 5, 6, 7, 8], ""e2"": [2, 6, 7], ""e3"": [3, 5, 8]}","[8, 7, 3, 3]",4,8
79,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 4, 5, 6, 7, 8], ""e2"": [3, 5]}","[8, 7, 2]",3,8
80,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 4, 5, 6, 7, 8], ""e2"": [5, 6, 7], ""e3"": [1, 3, 6]}","[8, 7, 3, 3]",4,8
81,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 4, 5, 6, 7], ""e2"": [2, 4, 5], ""e3"": [1, 6]}","[8, 6, 3, 2]",4,8
82,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 4, 5, 6, 7], ""e2"": [3, 5, 7, 8], ""e3"": [5, 7, 8]}","[8, 6, 4, 3]",4,8
83,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 4, 5, 6, 7], ""e2"": [3, 6, 7, 8], ""e3"": [3, 5, 8]}","[8, 6, 4, 3]",4,8
84,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 4, 5, 6, 8], ""e2"": [1, 2, 4, 6]}","[8, 6, 4]",3,8
85,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 4, 5, 6], ""e2"": [5, 7, 8], ""e3"": [1, 3, 7]}","[8, 5, 3, 3]",4,8
86,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 4, 5, 7, 8], ""e2"": [1, 2, 5, 8], ""e3"": [3, 6]}","[8, 6, 4, 2]",4,8
87,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 4, 5, 7, 8], ""e2"": [1, 5, 6, 7], ""e3"": [4, 8]}","[8, 6, 4, 2]",4,8
88,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 4, 5, 7, 8], ""e2"": [3, 4, 6, 7], ""e3"": [7, 8]}","[8, 6, 4, 2]",4,8
89,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 4, 5, 7, 8], ""e2"": [3, 5, 6, 8], ""e3"": [5, 8]}","[8, 6, 4, 2]",4,8
90,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 4, 5, 7, 8], ""e2"": [5, 6, 7], ""e3"": [3, 5]}","[8, 6, 3, 2]",4,8
91,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 4, 5, 7], ""e2"": [2, 4, 7]}","[8, 5, 3]",3,8
92,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 4, 5, 8], ""e2"": [2, 5, 8], ""e3"": [1, 4]}","[8, 5, 3, 2]",4,8
93,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 4, 5], ""e2"": [1, 3, 7, 8], ""e3"": [5, 6]}","[8, 4, 4, 2]",4,8
94,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 4, 5], ""e2"": [2, 4, 7], ""e3"": [5, 6]}","[8, 4, 3, 2]",4,8
95,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 4, 6, 7, 8], ""e2"": [1, 2, 4, 6], ""e3"": [4, 7, 8]}","[8, 6, 4, 3]",4,8
96,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 4, 6, 7, 8], ""e2"": [3, 4, 6], ""e3"": [1, 3, 7]}","[8, 6, 3, 3]",4,8
97,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 4, 6, 7, 8], ""e2"": [3, 7, 8]}","[8, 6, 3]",3,8
98,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 4, 7, 8], ""e2"": [3, 4, 8], ""e3"": [3, 5]}","[8, 5, 3, 2]",4,8
99,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 4, 7], ""e2"": [3, 4, 8], ""e3"": [3, 8]}","[8, 4, 3, 2]",4,8
100,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 4, 7], ""e2"": [4, 5, 7], ""e3"": [1, 2, 5]}","[8, 4, 3, 3]",4,8
101,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 4, 8], ""e2"": [1, 2, 3, 4], ""e3"": [1, 4]}","[8, 4, 4, 2]",4,8
102,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 4, 8], ""e2"": [1, 2, 4], ""e3"": [1, 5, 8]}","[8, 4, 3, 3]",4,8
103,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 4], ""e2"": [1, 2, 7], ""e3"": [1, 5, 6]}","[8, 3, 3, 3]",4,8
104,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 5, 6, 7, 8], ""e2"": [1, 5, 8]}","[8, 6, 3]",3,8
105,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 5, 6, 7, 8], ""e2"": [2, 3]}","[8, 6, 2]",3,8
106,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 5, 6, 7, 8], ""e2"": [2, 4, 6], ""e3"": [2, 6, 7]}","[8, 6, 3, 3]",4,8
107,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 5, 6, 7, 8], ""e2"": [3, 4, 8]}","[8, 6, 3]",3,8
108,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 5, 6, 7, 8], ""e2"": [3, 5, 8], ""e3"": [3, 4, 8]}","[8, 6, 3, 3]",4,8
109,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 5, 6, 8], ""e2"": [3, 4, 7], ""e3"": [2, 5, 8]}","[8, 5, 3, 3]",4,8
110,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 5, 6], ""e2"": [1, 7]}","[8, 4, 2]",3,8
111,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 5, 6], ""e2"": [3, 4, 7]}","[8, 4, 3]",3,8
112,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 5, 7, 8], ""e2"": [1, 2, 3, 8]}","[8, 5, 4]",3,8
113,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 5, 7, 8], ""e2"": [1, 2, 7], ""e3"": [3, 6]}","[8, 5, 3, 2]",4,8
114,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 5, 7, 8], ""e2"": [6, 7, 8]}","[8, 5, 3]",3,8
115,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 5, 7], ""e2"": [2, 3, 6], ""e3"": [3, 6, 7]}","[8, 4, 3, 3]",4,8
116,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 5, 8], ""e2"": [1, 5, 8], ""e3"": [2, 4, 7]}","[8, 4, 3, 3]",4,8
117,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 6, 7, 8], ""e2"": [1, 4, 6], ""e3"": [3, 8]}","[8, 5, 3, 2]",4,8
118,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 6, 7], ""e2"": [3, 5, 8], ""e3"": [2, 5]}","[8, 4, 3, 2]",4,8
119,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 6, 7], ""e2"": [4, 5, 8], ""e3"": [2, 6, 7]}","[8, 4, 3, 3]",4,8
120,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 2, 8], ""e2"": [5, 7, 8], ""e3"": [3, 4, 6]}","[8, 3, 3, 3]",4,8
121,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 3, 4, 5, 6, 7, 8], ""e2"": [1, 2, 3, 4, 6, 7]}","[8, 7, 6]",3,8
122,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 3, 4, 5, 6, 7, 8], ""e2"": [1, 3, 5, 6, 7], ""e3"": [2, 3, 7]}","[8, 7, 5, 3]",4,8
123,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 3, 4, 5, 6, 7, 8], ""e2"": [1, 4, 6], ""e3"": [3, 7, 8]}","[8, 7, 3, 3]",4,8
124,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 3, 4, 5, 6, 7, 8], ""e2"": [1, 4, 7], ""e3"": [1, 3, 6]}","[8, 7, 3, 3]",4,8
125,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 3, 4, 5, 6, 7], ""e2"": [1, 2, 3, 4], ""e3"": [2, 5, 8]}","[8, 6, 4, 3]",4,8
126,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 3, 4, 5, 6, 7], ""e2"": [1, 2, 7], ""e3"": [3, 5]}","[8, 6, 3, 2]",4,8
127,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 3, 4, 5, 6, 7], ""e2"": [1, 3, 5, 6, 7]}","[8, 6, 5]",3,8
128,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 3, 4, 5, 6, 7], ""e2"": [1, 3, 6, 8], ""e3"": [3, 6]}","[8, 6, 4, 2]",4,8
129,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 3, 4, 5, 6, 7], ""e2"": [1, 4, 6, 8], ""e3"": [2, 3, 5]}","[8, 6, 4, 3]",4,8
130,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 3, 4, 5, 6, 7], ""e2"": [1, 5, 7, 8], ""e3"": [2, 4, 7]}","[8, 6, 4, 3]",4,8
131,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 3, 4, 5, 6, 7], ""e2"": [2, 4, 8], ""e3"": [1, 4, 7]}","[8, 6, 3, 3]",4,8
132,"{""e0"": [1, 2, 3, 4, 5, 6, 7, 8], ""e1"": [1, 3, 4, 5, 6, 7], ""e2"": [3, 5, 7, 8], ""e3"": [3, 4, 5]}","[8, 6, 4, 3]",4,8
