,hypergraph,numVertices,numEdges,alpha,beta,lineGraphChordal,lineGraphRegular,lineGraphComplete,dual,dualAlpha,dualBeta,dualChordal,dualRegular,dualComplete
10,"{'e0': [4, 5, 8, 7, 3, 1], 'e1': [5, 8], 'e2': [6, 5, 4, 2], 'e3': [2, 8, 5, 3, 1, 4, 6, 7], 'e4': [4, 5, 1, 6, 2, 8, 7]}",8,5,True,False,True,True,True,"{1: ['e0', 'e3', 'e4'], 2: ['e2', 'e3', 'e4'], 3: ['e0', 'e3'], 4: ['e0', 'e2', 'e3', 'e4'], 5: [], 6: ['e2', 'e3', 'e4'], 7: ['e0', 'e3', 'e4'], 8: ['e0', 'e1', 'e3', 'e4']}",True,False,True,True,True
11,"{'e0': [2, 7, 6, 8, 5, 4], 'e1': [5, 3, 6, 7, 4, 2], 'e2': [6, 3, 2, 5, 1, 4, 7, 8], 'e3': [1, 5, 7, 3, 8, 4], 'e4': [6, 5, 8, 7]}",8,5,True,False,True,True,True,"{1: ['e2', 'e3'], 2: ['e0', 'e1', 'e2'], 3: ['e1', 'e2', 'e3'], 4: ['e0', 'e1', 'e2', 'e3'], 5: ['e0', 'e1', 'e2', 'e3', 'e4'], 6: ['e0', 'e1', 'e2', 'e4'], 7: ['e0', 'e1', 'e2', 'e3', 'e4'], 8: ['e0', 'e2', 'e3', 'e4']}",True,False,True,True,True
12,"{'e0': [2, 3, 4, 5, 8, 1, 6, 7], 'e1': [3, 7, 6, 2], 'e2': [3, 7], 'e3': [1, 7, 8, 3, 6, 5, 2], 'e4': [8, 6, 1, 5, 2, 7]}",8,5,True,False,True,True,True,"{1: ['e0', 'e3', 'e4'], 2: ['e0', 'e1', 'e3', 'e4'], 3: ['e0', 'e1', 'e2', 'e3'], 4: ['e0'], 5: ['e0', 'e3', 'e4'], 6: ['e0', 'e1', 'e3', 'e4'], 7: [], 8: ['e0', 'e3', 'e4']}",True,False,True,True,True
13,"{'e0': [8, 5, 3], 'e1': [7, 3], 'e2': [6, 8, 4, 1, 2], 'e3': [2, 6, 5, 7, 1, 3, 8], 'e4': [8, 6]}",8,5,True,False,True,False,False,"{1: ['e2', 'e3'], 2: ['e2', 'e3'], 3: ['e0', 'e3'], 4: ['e2'], 5: ['e0', 'e3'], 6: ['e2', 'e3', 'e4'], 7: ['e1', 'e3'], 8: ['e0', 'e3']}",True,False,True,False,False
14,"{'e0': [2, 8, 4, 5, 1], 'e1': [5, 6], 'e2': [1, 2, 7, 3, 5], 'e3': [5, 8, 7, 2, 1, 4], 'e4': [6, 8, 7, 2, 3, 4, 5]}",8,5,False,False,True,True,True,"{1: ['e0', 'e2', 'e3'], 2: ['e0', 'e2', 'e3', 'e4'], 3: ['e2', 'e4'], 4: ['e0', 'e3', 'e4'], 5: [], 6: ['e1', 'e4'], 7: ['e2', 'e3', 'e4'], 8: ['e0', 'e3', 'e4']}",True,False,True,False,False
15,"{'e0': [1, 4, 6, 8], 'e1': [6, 4, 5], 'e2': [1, 5, 4], 'e3': [6, 5, 7, 8, 2, 4, 1], 'e4': [6, 3]}",8,5,True,False,True,False,False,"{1: ['e0', 'e2', 'e3'], 2: ['e3'], 3: ['e4'], 4: ['e0', 'e1', 'e3'], 5: ['e1', 'e2', 'e3'], 6: ['e0', 'e1', 'e3'], 7: ['e3'], 8: ['e0', 'e3']}",True,False,True,False,False
16,"{'e0': [6, 1, 4, 3, 8, 2, 7, 5], 'e1': [8, 5, 3, 4], 'e2': [6, 1, 4], 'e3': [4, 2], 'e4': [5, 8, 6, 7, 1, 2]}",8,5,True,False,True,True,True,"{1: ['e0', 'e2', 'e4'], 2: ['e0', 'e3'], 3: ['e0', 'e1'], 4: ['e0', 'e3'], 5: ['e0', 'e1', 'e4'], 6: ['e0', 'e2', 'e4'], 7: ['e0', 'e4'], 8: ['e0', 'e1', 'e4']}",True,False,True,True,True
17,"{'e0': [6, 1, 3, 7, 5, 2], 'e1': [7, 6], 'e2': [5, 8, 6, 7, 1], 'e3': [6, 4, 3], 'e4': [7, 5, 6, 8, 1, 3, 2]}",8,5,True,False,True,True,True,"{1: ['e0', 'e2', 'e4'], 2: ['e0', 'e4'], 3: ['e0', 'e3', 'e4'], 4: ['e3'], 5: ['e0', 'e2', 'e4'], 6: [], 7: ['e0', 'e1', 'e2', 'e4'], 8: ['e2', 'e4']}",True,False,True,False,False
18,"{'e0': [8, 7, 5], 'e1': [4, 2, 5, 7], 'e2': [4, 2], 'e3': [8, 3, 2, 4], 'e4': [3, 2, 6, 4, 1, 5]}",8,5,False,False,True,False,False,"{1: ['e4'], 2: ['e1', 'e2', 'e3', 'e4'], 3: ['e3', 'e4'], 4: ['e1', 'e2', 'e3', 'e4'], 5: ['e0'], 6: ['e4'], 7: ['e0', 'e1'], 8: ['e0']}",True,False,True,False,False
19,"{'e0': [1, 4, 6, 3, 7, 5, 8], 'e1': [7, 6, 1, 8], 'e2': [7, 6, 4, 5], 'e3': [8, 6, 5, 1, 2, 7, 4, 3], 'e4': [4, 8, 2, 5, 1, 7]}",8,5,True,False,True,True,True,"{1: ['e0', 'e1', 'e3', 'e4'], 2: ['e3', 'e4'], 3: ['e0', 'e3'], 4: ['e0', 'e2', 'e3', 'e4'], 5: ['e0', 'e2', 'e3', 'e4'], 6: ['e0', 'e1', 'e2', 'e3'], 7: [], 8: ['e0', 'e1', 'e3', 'e4']}",True,False,True,True,True
20,"{'e0': [6, 3, 7], 'e1': [7, 6, 8, 5, 3, 1, 2], 'e2': [3, 8, 2, 4, 6, 5], 'e3': [7, 4, 2], 'e4': [1, 8]}",8,5,False,False,True,False,False,"{1: ['e1', 'e4'], 2: [], 3: ['e0', 'e1', 'e2'], 4: ['e2', 'e3'], 5: ['e1', 'e2'], 6: ['e0', 'e1', 'e2'], 7: ['e1', 'e3'], 8: ['e1', 'e2']}",True,False,True,False,False
21,"{'e0': [8, 2, 7, 5, 4, 3, 6], 'e1': [2, 1, 4], 'e2': [8, 5, 4, 1, 6], 'e3': [5, 3, 7, 6, 2, 8, 1], 'e4': [3, 8, 2, 4, 7, 5]}",8,5,False,False,True,True,True,"{1: ['e1', 'e2', 'e3'], 2: ['e0', 'e1', 'e3', 'e4'], 3: ['e0', 'e3', 'e4'], 4: ['e0', 'e1', 'e2', 'e4'], 5: ['e0', 'e2', 'e3', 'e4'], 6: ['e0', 'e2', 'e3'], 7: ['e0', 'e3', 'e4'], 8: ['e0', 'e2', 'e3', 'e4']}",False,False,True,True,True
22,"{'e0': [2, 6], 'e1': [3, 8, 5, 2, 1], 'e2': [8, 3, 6], 'e3': [7, 8, 5, 1, 2], 'e4': [8, 7, 6, 4, 2, 1, 5]}",8,5,False,False,True,True,True,"{1: ['e1', 'e3', 'e4'], 2: ['e0', 'e1', 'e3', 'e4'], 3: ['e1', 'e2'], 4: ['e4'], 5: ['e1', 'e3', 'e4'], 6: ['e0', 'e2', 'e4'], 7: ['e3', 'e4'], 8: ['e1', 'e2', 'e3', 'e4']}",False,False,True,False,False
23,"{'e0': [1, 5, 2], 'e1': [4, 7, 1], 'e2': [6, 2, 7, 4, 8, 5, 3], 'e3': [5, 8, 3, 7, 2, 1], 'e4': [6, 8, 7, 3, 1, 4]}",8,5,False,False,True,True,True,"{1: ['e1', 'e3', 'e4'], 2: ['e0', 'e2', 'e3'], 3: ['e2', 'e3', 'e4'], 4: ['e1', 'e2', 'e4'], 5: ['e0', 'e2', 'e3'], 6: ['e2', 'e4'], 7: ['e1', 'e3', 'e4'], 8: ['e2', 'e3', 'e4']}",True,False,True,True,True
24,"{'e0': [8, 3, 2, 4, 7, 6, 1], 'e1': [7, 2, 3, 6, 5, 1, 4], 'e2': [4, 5, 7, 1, 2, 8, 3], 'e3': [1, 6], 'e4': [3, 6, 8, 4]}",8,5,False,False,True,True,True,"{1: ['e0', 'e1', 'e3'], 2: ['e0', 'e1', 'e2'], 3: ['e0', 'e1', 'e2', 'e4'], 4: ['e0', 'e1', 'e2', 'e4'], 5: ['e1', 'e2'], 6: ['e0', 'e1', 'e3'], 7: ['e0', 'e1', 'e2'], 8: ['e0', 'e2', 'e4']}",True,False,True,True,True
25,"{'e0': [1, 8, 2, 4, 6, 7, 3], 'e1': [8, 5], 'e2': [4, 2, 3, 6, 5], 'e3': [7, 1, 4, 6, 8, 2, 5], 'e4': [8, 5, 7, 1, 6, 4]}",8,5,False,False,True,True,True,"{1: ['e0', 'e3', 'e4'], 2: ['e0', 'e2', 'e3'], 3: ['e0', 'e2'], 4: ['e0', 'e2', 'e3', 'e4'], 5: ['e1', 'e3', 'e4'], 6: ['e0', 'e2', 'e3', 'e4'], 7: ['e0', 'e3', 'e4'], 8: ['e1', 'e3', 'e4']}",True,False,True,True,True
26,"{'e0': [8, 3, 4, 5, 2, 1, 6], 'e1': [7, 3, 5, 8, 6], 'e2': [7, 2, 8, 3], 'e3': [5, 1, 4, 7, 6, 8, 3, 2], 'e4': [2, 6, 4, 7]}",8,5,True,False,True,True,True,"{1: ['e0', 'e3'], 2: ['e0', 'e2', 'e3', 'e4'], 3: ['e0', 'e1', 'e2', 'e3'], 4: ['e0', 'e3', 'e4'], 5: ['e0', 'e1', 'e3'], 6: ['e0', 'e1', 'e3', 'e4'], 7: ['e1', 'e2', 'e3', 'e4'], 8: ['e0', 'e1', 'e2', 'e3']}",False,False,True,True,True
27,"{'e0': [3, 1, 7, 8, 2], 'e1': [3, 5, 6, 7, 1, 8, 2, 4], 'e2': [5, 2, 6, 8, 3, 4, 7], 'e3': [1, 5, 7, 3], 'e4': [4, 5, 1, 3, 8, 2, 6]}",8,5,True,False,True,True,True,"{1: ['e0', 'e1', 'e3', 'e4'], 2: ['e0', 'e1', 'e2', 'e4'], 3: [], 4: ['e1', 'e2', 'e4'], 5: ['e1', 'e2', 'e3', 'e4'], 6: ['e1', 'e2', 'e4'], 7: ['e0', 'e1', 'e2', 'e3'], 8: ['e0', 'e1', 'e2', 'e4']}",True,False,True,True,True
28,"{'e0': [6, 3, 4], 'e1': [7, 2, 3, 5, 6, 1], 'e2': [3, 1, 2, 7, 5], 'e3': [7, 2, 5, 4], 'e4': [8, 6, 7, 3, 1, 4]}",8,5,False,False,True,True,True,"{1: ['e1', 'e2', 'e4'], 2: ['e1', 'e2', 'e3'], 3: ['e0', 'e1', 'e2', 'e4'], 4: ['e0', 'e3', 'e4'], 5: ['e1', 'e2', 'e3'], 6: ['e0', 'e1', 'e4'], 7: ['e1', 'e2', 'e3', 'e4'], 8: ['e4']}",False,False,True,False,False
29,"{'e0': [3, 5], 'e1': [1, 7, 4, 3, 5, 2], 'e2': [8, 1], 'e3': [5, 7], 'e4': [3, 6, 5]}",8,5,True,False,True,False,False,"{1: ['e1'], 2: ['e1'], 3: ['e0', 'e1', 'e4'], 4: ['e1'], 5: ['e1'], 6: ['e4'], 7: ['e1', 'e3'], 8: ['e2']}",True,False,True,False,False
30,"{'e0': [7, 5, 6, 8, 2, 1, 4], 'e1': [3, 1, 2, 5, 7], 'e2': [3, 6, 8, 4, 1, 5], 'e3': [1, 8, 4, 3, 5, 2, 6, 7], 'e4': [6, 3, 5, 4]}",8,5,True,False,True,True,True,"{1: ['e0', 'e1', 'e2', 'e3'], 2: ['e0', 'e1', 'e3'], 3: ['e1', 'e2', 'e3', 'e4'], 4: ['e0', 'e2', 'e3', 'e4'], 5: [], 6: ['e0', 'e2', 'e3', 'e4'], 7: ['e0', 'e1', 'e3'], 8: ['e0', 'e2', 'e3']}",True,False,True,True,True
31,"{'e0': [8, 3], 'e1': [8, 7, 1], 'e2': [3, 5, 4, 8, 1, 7], 'e3': [4, 8, 6], 'e4': [2, 6, 7, 1, 3, 8, 4]}",8,5,True,True,True,True,True,"{1: ['e1', 'e2', 'e4'], 2: ['e4'], 3: ['e0', 'e2', 'e4'], 4: ['e2', 'e3', 'e4'], 5: ['e2'], 6: ['e3', 'e4'], 7: ['e1', 'e2', 'e4'], 8: []}",True,False,True,False,False
32,"{'e0': [2, 1, 6, 5, 8, 4, 7], 'e1': [5, 7], 'e2': [6, 8], 'e3': [3, 7, 1, 4, 5, 2, 8], 'e4': [8, 6, 3, 2]}",8,5,False,False,True,False,False,"{1: ['e0', 'e3'], 2: ['e0', 'e3', 'e4'], 3: ['e3', 'e4'], 4: ['e0', 'e3'], 5: ['e0', 'e1', 'e3'], 6: ['e0', 'e2', 'e4'], 7: ['e0', 'e1', 'e3'], 8: []}",True,False,True,True,True
33,"{'e0': [4, 5, 6, 1, 2, 8, 3, 7], 'e1': [4, 8, 3, 2, 7, 1, 6], 'e2': [3, 7, 4, 1, 2, 8, 5], 'e3': [5, 7], 'e4': [6, 8, 4, 3]}",8,5,True,False,True,False,False,"{1: ['e0', 'e1', 'e2'], 2: ['e0', 'e1', 'e2'], 3: ['e0', 'e1', 'e2', 'e4'], 4: ['e0', 'e1', 'e2', 'e4'], 5: ['e0', 'e2', 'e3'], 6: ['e0', 'e1', 'e4'], 7: [], 8: ['e0', 'e1', 'e2', 'e4']}",True,False,True,True,True
34,"{'e0': [8, 5, 7, 3, 1], 'e1': [4, 8, 1, 6], 'e2': [2, 6], 'e3': [6, 4], 'e4': [4, 3, 6, 1, 8, 5, 7, 2]}",8,5,True,True,True,False,False,"{1: ['e0', 'e1', 'e4'], 2: ['e2', 'e4'], 3: ['e0', 'e4'], 4: ['e1', 'e3', 'e4'], 5: ['e0', 'e4'], 6: [], 7: ['e0', 'e4'], 8: ['e0', 'e1', 'e4']}",True,False,True,True,True
35,"{'e0': [8, 4], 'e1': [5, 1, 6, 3], 'e2': [7, 5], 'e3': [5, 6, 8, 4, 2, 3, 1], 'e4': [3, 8, 1]}",8,5,True,False,True,False,False,"{1: ['e1', 'e3', 'e4'], 2: ['e3'], 3: ['e1', 'e3', 'e4'], 4: ['e0', 'e3'], 5: ['e3'], 6: ['e1', 'e3'], 7: ['e2'], 8: ['e3']}",True,False,True,False,False
36,"{'e0': [3, 4, 8, 1, 6, 2, 5], 'e1': [7, 3], 'e2': [1, 3], 'e3': [2, 5, 3, 7, 8], 'e4': [3, 2, 1, 5]}",8,5,True,False,True,True,True,"{1: ['e0', 'e2', 'e4'], 2: ['e0', 'e3', 'e4'], 3: [], 4: ['e0'], 5: ['e0', 'e3', 'e4'], 6: ['e0'], 7: ['e1', 'e3'], 8: ['e0', 'e3']}",True,False,True,False,False
37,"{'e0': [4, 5], 'e1': [3, 1, 2, 5, 7, 8, 6], 'e2': [4, 3, 1, 7, 2, 5, 8], 'e3': [8, 4, 5], 'e4': [8, 1, 2]}",8,5,True,False,True,False,False,"{1: ['e1', 'e2', 'e4'], 2: ['e1', 'e2', 'e4'], 3: ['e1', 'e2'], 4: ['e0', 'e2', 'e3'], 5: ['e1', 'e2', 'e3'], 6: ['e1'], 7: ['e1', 'e2'], 8: ['e1', 'e2', 'e3']}",True,False,True,False,False
38,"{'e0': [6, 8, 4, 2, 3, 5], 'e1': [7, 5, 1, 8], 'e2': [8, 6, 7], 'e3': [5, 6, 4], 'e4': [2, 5, 1]}",8,5,False,False,True,False,False,"{1: ['e1', 'e4'], 2: ['e0', 'e4'], 3: ['e0'], 4: ['e0', 'e3'], 5: ['e0', 'e1', 'e3'], 6: ['e0', 'e2', 'e3'], 7: ['e1', 'e2'], 8: ['e0', 'e1', 'e2']}",False,False,False,False,False
39,"{'e0': [6, 5, 2], 'e1': [6, 4, 1, 7, 8, 3, 2], 'e2': [4, 6, 3], 'e3': [2, 5, 7], 'e4': [4, 5, 6, 3, 2, 1]}",8,5,False,False,True,False,False,"{1: ['e1', 'e4'], 2: ['e0', 'e1', 'e4'], 3: ['e1', 'e2', 'e4'], 4: ['e1', 'e2', 'e4'], 5: ['e0', 'e3', 'e4'], 6: ['e0', 'e1', 'e4'], 7: ['e1', 'e3'], 8: ['e1']}",True,False,True,False,False
40,"{'e0': [2, 6, 3, 4], 'e1': [3, 7, 5, 6, 2, 8], 'e2': [6, 1, 8, 3, 5, 7], 'e3': [6, 8, 5, 4], 'e4': [1, 4, 2, 6, 7]}",8,5,False,False,True,True,True,"{1: ['e2', 'e4'], 2: ['e0', 'e1', 'e4'], 3: ['e0', 'e1', 'e2'], 4: ['e0', 'e3', 'e4'], 5: ['e1', 'e2', 'e3'], 6: [], 7: ['e1', 'e2', 'e4'], 8: ['e1', 'e2', 'e3']}",True,False,True,True,True
41,"{'e0': [3, 2, 6], 'e1': [3, 7, 1, 2, 4, 6], 'e2': [8, 6], 'e3': [1, 8, 3, 7], 'e4': [5, 6]}",8,5,False,False,True,False,False,"{1: ['e1', 'e3'], 2: ['e0', 'e1'], 3: ['e0', 'e1', 'e3'], 4: ['e1'], 5: ['e4'], 6: ['e0', 'e1', 'e2'], 7: ['e1', 'e3'], 8: ['e2', 'e3']}",False,False,True,False,False
42,"{'e0': [4, 1, 6, 5, 3, 8, 2], 'e1': [2, 6, 1, 3, 4], 'e2': [8, 2], 'e3': [4, 6, 3, 7, 1, 2, 8], 'e4': [4, 2, 5, 6, 3]}",8,5,True,False,True,True,True,"{1: ['e0', 'e1', 'e3'], 2: [], 3: ['e0', 'e1', 'e3', 'e4'], 4: ['e0', 'e1', 'e3', 'e4'], 5: ['e0', 'e4'], 6: ['e0', 'e1', 'e3', 'e4'], 7: ['e3'], 8: ['e0', 'e2', 'e3']}",True,False,True,False,False
43,"{'e0': [6, 1, 5, 2, 8], 'e1': [5, 7, 8, 4, 3, 2], 'e2': [6, 1, 5, 2, 3, 8, 7, 4], 'e3': [6, 4, 2, 3, 8], 'e4': [5, 6, 4, 1, 7]}",8,5,True,False,True,True,True,"{1: ['e0', 'e2', 'e4'], 2: ['e0', 'e1', 'e2', 'e3'], 3: ['e1', 'e2', 'e3'], 4: ['e1', 'e2', 'e3', 'e4'], 5: ['e0', 'e1', 'e2', 'e4'], 6: ['e0', 'e2', 'e3', 'e4'], 7: ['e1', 'e2', 'e4'], 8: ['e0', 'e1', 'e2', 'e3']}",False,False,True,True,True
44,"{'e0': [8, 6, 4, 5, 2, 7], 'e1': [3, 8, 7], 'e2': [4, 2, 3, 5, 8, 6, 1, 7], 'e3': [7, 8, 2], 'e4': [5, 7]}",8,5,True,False,True,True,True,"{1: ['e2'], 2: ['e0', 'e2', 'e3'], 3: ['e1', 'e2'], 4: ['e0', 'e2'], 5: ['e0', 'e2', 'e4'], 6: ['e0', 'e2'], 7: [], 8: ['e0', 'e1', 'e2', 'e3']}",True,True,True,True,True
45,"{'e0': [2, 8], 'e1': [5, 3, 4, 7], 'e2': [1, 8, 5, 4, 2], 'e3': [4, 5, 6, 1, 8, 2, 3], 'e4': [2, 6, 3, 7, 8, 4, 1, 5]}",8,5,True,True,True,False,False,"{1: ['e2', 'e3', 'e4'], 2: ['e0', 'e2', 'e3', 'e4'], 3: ['e1', 'e3', 'e4'], 4: ['e1', 'e2', 'e3', 'e4'], 5: ['e1', 'e2', 'e3', 'e4'], 6: ['e3', 'e4'], 7: ['e1', 'e4'], 8: ['e0', 'e2', 'e3', 'e4']}",True,False,True,True,True
46,"{'e0': [1, 5], 'e1': [5, 4, 7, 3], 'e2': [2, 3, 8, 4, 7, 1], 'e3': [5, 4, 3, 8, 2, 7, 1], 'e4': [5, 4]}",7,5,True,False,True,True,True,"{1: ['e0', 'e2', 'e3'], 2: ['e2', 'e3'], 3: ['e1', 'e2', 'e3'], 4: ['e1', 'e2', 'e3', 'e4'], 5: ['e0', 'e1', 'e3', 'e4'], 7: ['e1', 'e2', 'e3'], 8: ['e2', 'e3']}",False,False,True,True,True
47,"{'e0': [5, 7, 2], 'e1': [5, 3], 'e2': [2, 8, 5, 4, 3], 'e3': [4, 2, 1, 3], 'e4': [3, 2, 7, 5, 4]}",7,5,True,False,True,True,True,"{1: ['e3'], 2: ['e0', 'e2', 'e3', 'e4'], 3: ['e1', 'e2', 'e3', 'e4'], 4: ['e2', 'e3', 'e4'], 5: ['e0', 'e1', 'e2', 'e4'], 7: ['e0', 'e4'], 8: ['e2']}",False,False,True,False,False
48,"{'e0': [2, 5, 7, 8, 3], 'e1': [1, 5, 8, 2, 3], 'e2': [3, 5, 4, 8, 1, 6, 2, 7], 'e3': [2, 7, 6, 8], 'e4': [8, 3]}",8,5,True,False,True,True,True,"{1: ['e1', 'e2'], 2: ['e0', 'e1', 'e2', 'e3'], 3: ['e0', 'e1', 'e2', 'e4'], 4: ['e2'], 5: ['e0', 'e1', 'e2'], 6: ['e2', 'e3'], 7: ['e0', 'e2', 'e3'], 8: []}",True,False,True,True,True
49,"{'e0': [8, 2, 5, 1], 'e1': [4, 3, 6, 1, 5, 2, 7], 'e2': [3, 2, 1, 6], 'e3': [5, 3, 8, 2, 6, 4], 'e4': [4, 5, 3, 2, 1]}",8,5,False,False,True,True,True,"{1: ['e0', 'e1', 'e2', 'e4'], 2: [], 3: ['e1', 'e2', 'e3', 'e4'], 4: ['e1', 'e3', 'e4'], 5: ['e0', 'e1', 'e3', 'e4'], 6: ['e1', 'e2', 'e3'], 7: ['e1'], 8: ['e0', 'e3']}",True,False,True,False,False
50,"{'e0': [5, 1, 4], 'e1': [6, 3, 8], 'e2': [7, 6, 8, 1, 4, 3, 2], 'e3': [7, 5, 2, 1, 8, 4, 3, 6], 'e4': [4, 3, 7, 2, 1, 5, 8]}",8,5,True,True,True,False,False,"{1: ['e0', 'e2', 'e3', 'e4'], 2: ['e2', 'e3', 'e4'], 3: ['e1', 'e2', 'e3', 'e4'], 4: ['e0', 'e2', 'e3', 'e4'], 5: ['e0', 'e3', 'e4'], 6: ['e1', 'e2', 'e3'], 7: ['e2', 'e3', 'e4'], 8: ['e1', 'e2', 'e3', 'e4']}",True,False,True,True,True
51,"{'e0': [1, 7, 5, 2], 'e1': [2, 1], 'e2': [3, 2], 'e3': [7, 3], 'e4': [1, 6, 5, 7, 4, 8, 2, 3]}",8,5,True,False,True,False,False,"{1: ['e0', 'e1', 'e4'], 2: ['e0', 'e2', 'e4'], 3: ['e2', 'e3', 'e4'], 4: ['e4'], 5: ['e0', 'e4'], 6: ['e4'], 7: ['e0', 'e3', 'e4'], 8: ['e4']}",False,False,True,True,True
