,hypergraph,alpha,beta,numVertices,numEdges
40,"{'e0': [4, 6, 5, 3, 2, 1], 'e1': [2, 6], 'e2': [4, 1], 'e3': [5, 1], 'e4': [3, 6, 2, 5]}",True,False,6,5
41,"{'e0': [3, 6, 5], 'e1': [5, 4], 'e2': [6, 3, 4], 'e3': [5, 1], 'e4': [2, 1, 5, 4]}",False,False,6,5
42,"{'e0': [2, 3, 1], 'e1': [5, 6], 'e2': [1, 4, 5], 'e3': [1, 3], 'e4': [6, 4, 5, 3, 2, 1]}",True,True,6,5
43,"{'e0': [2, 1, 5, 6, 4], 'e1': [4, 6, 3, 5, 1], 'e2': [6, 1, 5, 3, 2, 4], 'e3': [2, 4], 'e4': [4, 1, 5, 2, 3]}",True,False,6,5
44,"{'e0': [3, 1, 4, 6, 5], 'e1': [5, 6], 'e2': [2, 5, 6, 3], 'e3': [2, 5], 'e4': [4, 6, 2]}",False,False,6,5
45,"{'e0': [3, 6, 2], 'e1': [6, 2, 1], 'e2': [2, 3, 5, 4], 'e3': [6, 5], 'e4': [1, 3, 6, 2, 4, 5]}",True,False,6,5
46,"{'e0': [3, 6], 'e1': [2, 5, 1, 3], 'e2': [5, 6, 3, 2, 4, 1], 'e3': [4, 1, 6], 'e4': [2, 4, 3]}",True,False,6,5
47,"{'e0': [1, 2, 4, 3, 6, 5], 'e1': [4, 5], 'e2': [6, 3, 5, 4, 1], 'e3': [4, 1, 3], 'e4': [1, 2]}",True,False,6,5
48,"{'e0': [6, 1, 4, 2, 5], 'e1': [1, 4, 3, 6, 2, 5], 'e2': [5, 2, 4, 3, 6], 'e3': [4, 5], 'e4': [3, 6, 4]}",True,False,6,5
49,"{'e0': [2, 5, 1, 6, 3, 4], 'e1': [2, 3, 5, 6], 'e2': [3, 4, 1, 5], 'e3': [2, 3], 'e4': [2, 3, 4, 6, 1]}",True,False,6,5
50,"{'e0': [4, 1, 2, 3], 'e1': [3, 4], 'e2': [6, 1, 3, 2, 4], 'e3': [2, 6, 1, 3, 5], 'e4': [2, 3, 4, 1, 5, 6]}",True,False,6,5
51,"{'e0': [1, 5, 3, 2, 4], 'e1': [3, 2, 6], 'e2': [4, 2, 5], 'e3': [4, 3], 'e4': [6, 5, 1, 4, 2]}",False,False,6,5
52,"{'e0': [3, 4, 1, 2, 5, 6], 'e1': [1, 5, 4, 2, 3], 'e2': [4, 3], 'e3': [4, 5], 'e4': [6, 1, 4, 5]}",True,False,6,5
53,"{'e0': [6, 3, 4, 1], 'e1': [1, 3, 5, 2, 4, 6], 'e2': [5, 1], 'e3': [2, 6, 3], 'e4': [4, 2, 3]}",True,False,6,5
54,"{'e0': [4, 2, 6], 'e1': [3, 1, 4, 6], 'e2': [6, 5], 'e3': [2, 3, 1], 'e4': [4, 6, 1]}",False,False,6,5
55,"{'e0': [6, 5, 3], 'e1': [6, 3, 1, 4], 'e2': [5, 1, 4, 2, 3], 'e3': [1, 5, 4], 'e4': [2, 1, 5]}",False,False,6,5
56,"{'e0': [2, 4, 6, 1, 3, 5], 'e1': [1, 3], 'e2': [4, 1, 5], 'e3': [1, 3, 5, 4], 'e4': [6, 3, 2, 4]}",True,False,6,5
57,"{'e0': [4, 3, 2, 5], 'e1': [6, 1], 'e2': [3, 6, 4, 1, 5], 'e3': [4, 2, 6, 3, 5], 'e4': [6, 5, 1, 3]}",True,False,6,5
58,"{'e0': [5, 4, 6, 1, 3], 'e1': [4, 1, 3, 5, 2, 6], 'e2': [6, 3, 1, 2, 4], 'e3': [2, 1, 4, 3], 'e4': [4, 2, 5, 6]}",True,False,6,5
59,"{'e0': [6, 5, 1, 4, 3], 'e1': [5, 2], 'e2': [2, 1, 5, 4], 'e3': [1, 6], 'e4': [5, 1]}",True,False,6,5
60,"{'e0': [3, 2, 5, 4, 6, 1], 'e1': [5, 2, 3], 'e2': [3, 4], 'e3': [1, 3], 'e4': [4, 1, 2]}",True,False,6,5
61,"{'e0': [1, 4], 'e1': [6, 1, 4, 3], 'e2': [4, 1, 5], 'e3': [3, 1, 6, 5], 'e4': [5, 1, 4, 3, 6]}",True,False,6,5
62,"{'e0': [1, 5, 6, 4, 2], 'e1': [1, 3, 4], 'e2': [4, 1, 6], 'e3': [2, 1], 'e4': [4, 5]}",True,False,6,5
63,"{'e0': [1, 2, 5], 'e1': [6, 4, 5, 2, 3, 1], 'e2': [2, 4], 'e3': [5, 1], 'e4': [3, 2, 4]}",True,False,6,5
64,"{'e0': [6, 3, 5, 2, 1, 4], 'e1': [5, 1], 'e2': [6, 3], 'e3': [4, 3, 6], 'e4': [3, 5, 6, 2, 4]}",True,False,6,5
65,"{'e0': [1, 6], 'e1': [5, 1, 6, 2, 3], 'e2': [2, 4, 6], 'e3': [6, 2, 3, 5], 'e4': [5, 2, 1]}",True,False,6,5
66,"{'e0': [4, 3], 'e1': [5, 6, 1, 4, 3], 'e2': [2, 1, 5], 'e3': [6, 3, 5, 4], 'e4': [6, 5, 1, 3, 2, 4]}",True,False,6,5
67,"{'e0': [5, 1, 2, 4, 3, 6], 'e1': [6, 3, 1, 4, 2], 'e2': [6, 1, 4, 3], 'e3': [3, 2], 'e4': [1, 5, 6, 4, 3]}",True,False,6,5
68,"{'e0': [2, 1], 'e1': [2, 5, 6, 3], 'e2': [6, 1, 5], 'e3': [3, 2], 'e4': [6, 1]}",False,False,6,5
69,"{'e0': [2, 6, 4, 3, 5], 'e1': [1, 4, 2, 3], 'e2': [6, 1], 'e3': [1, 4], 'e4': [6, 5, 1, 2, 4, 3]}",True,False,6,5
70,"{'e0': [4, 1], 'e1': [2, 3, 4], 'e2': [3, 4, 5, 1, 2], 'e3': [4, 5, 2, 1], 'e4': [3, 5, 4, 6, 2]}",True,False,6,5
71,"{'e0': [5, 4, 6], 'e1': [2, 1, 3], 'e2': [6, 4], 'e3': [6, 5, 1, 4, 2], 'e4': [5, 6, 1, 2, 4, 3]}",True,True,6,5
72,"{'e0': [1, 3, 4, 5], 'e1': [3, 6, 2, 1], 'e2': [3, 5, 4, 6, 1], 'e3': [3, 4], 'e4': [3, 5, 2, 4, 6]}",False,False,6,5
73,"{'e0': [2, 3], 'e1': [4, 1], 'e2': [5, 2, 3, 4], 'e3': [2, 6, 3], 'e4': [5, 1, 6, 3]}",False,False,6,5
74,"{'e0': [1, 3, 6, 5, 4], 'e1': [3, 4, 5, 2, 6], 'e2': [3, 6, 4, 1, 2, 5], 'e3': [4, 1, 2, 5], 'e4': [2, 1, 6]}",True,False,6,5
75,"{'e0': [1, 6, 3, 4], 'e1': [4, 2, 5, 1, 6], 'e2': [3, 4, 5, 2, 6], 'e3': [3, 1, 4, 6, 5, 2], 'e4': [1, 4, 2, 3, 6]}",True,False,6,5
76,"{'e0': [2, 5, 6, 1], 'e1': [3, 6, 1, 4, 5], 'e2': [2, 4, 1], 'e3': [4, 3, 6, 2], 'e4': [3, 2, 1, 4, 6, 5]}",True,False,6,5
77,"{'e0': [5, 4, 1], 'e1': [5, 2, 1, 6], 'e2': [6, 4, 1, 2], 'e3': [1, 2, 3, 4, 5], 'e4': [3, 4, 6, 1, 2]}",False,False,6,5
78,"{'e0': [3, 6, 2], 'e1': [3, 5, 6, 2], 'e2': [5, 6, 2], 'e3': [5, 4], 'e4': [6, 5, 1, 2]}",True,True,6,5
79,"{'e0': [1, 4, 6, 2, 5], 'e1': [3, 6], 'e2': [5, 1, 3, 2, 6, 4], 'e3': [3, 5], 'e4': [5, 4, 6]}",True,False,6,5
80,"{'e0': [2, 5, 3, 6, 4], 'e1': [6, 3, 5, 1], 'e2': [4, 5, 1, 2], 'e3': [2, 4, 5, 3], 'e4': [3, 1, 2]}",False,False,6,5
81,"{'e0': [2, 3, 6, 4, 1], 'e1': [2, 1, 5, 4, 3], 'e2': [6, 4], 'e3': [1, 3, 6], 'e4': [1, 2, 3, 4]}",True,False,6,5
82,"{'e0': [3, 1, 5, 6, 4], 'e1': [6, 4, 5, 2], 'e2': [2, 6, 1, 4, 5], 'e3': [1, 6, 3, 2], 'e4': [3, 4]}",False,False,6,5
83,"{'e0': [5, 2, 4, 6, 1], 'e1': [3, 5, 1, 2, 6], 'e2': [3, 2, 1], 'e3': [1, 6, 5, 3, 4, 2], 'e4': [1, 5, 6, 4, 3]}",True,False,6,5
84,"{'e0': [4, 1, 6], 'e1': [4, 1, 3, 6, 2, 5], 'e2': [1, 2, 4, 3], 'e3': [5, 2], 'e4': [1, 6, 4, 2, 3]}",True,False,6,5
85,"{'e0': [1, 3, 2, 4], 'e1': [2, 4], 'e2': [3, 4], 'e3': [2, 3, 6, 1, 4], 'e4': [4, 3, 6, 1]}",True,False,6,5
86,"{'e0': [4, 2, 1], 'e1': [4, 1, 2, 6], 'e2': [4, 3], 'e3': [1, 5, 3], 'e4': [4, 2, 5, 1]}",False,False,6,5
87,"{'e0': [1, 2, 3, 4, 6], 'e1': [6, 1, 2, 4], 'e2': [1, 4, 6, 5], 'e3': [1, 6, 3, 4, 5], 'e4': [1, 2]}",True,False,6,5
88,"{'e0': [4, 1, 3], 'e1': [1, 3, 5], 'e2': [2, 3, 6, 5], 'e3': [5, 3, 4, 1], 'e4': [1, 6, 5, 3]}",True,True,6,5
89,"{'e0': [4, 2], 'e1': [6, 5, 4, 3, 1], 'e2': [5, 2, 1], 'e3': [5, 6, 2, 1, 3, 4], 'e4': [3, 5, 1, 6]}",True,False,6,5
90,"{'e0': [2, 1, 6, 5, 4], 'e1': [5, 6, 4, 2, 3, 1], 'e2': [5, 3, 6], 'e3': [1, 5, 3], 'e4': [2, 5, 6, 4]}",True,False,6,5
91,"{'e0': [2, 6, 4, 5], 'e1': [5, 3, 1, 4, 2], 'e2': [1, 4, 3, 2], 'e3': [4, 6, 1], 'e4': [1, 3]}",False,False,6,5
92,"{'e0': [6, 5, 1, 2, 4], 'e1': [1, 6, 3, 5, 2, 4], 'e2': [1, 6], 'e3': [3, 2, 5, 1, 4], 'e4': [3, 1, 4, 2]}",True,False,6,5
93,"{'e0': [4, 5, 2, 6], 'e1': [3, 4], 'e2': [6, 5, 4, 2, 1], 'e3': [5, 3, 4, 2], 'e4': [4, 2, 5, 3, 1]}",True,True,6,5
94,"{'e0': [2, 5, 6, 1, 3], 'e1': [5, 3], 'e2': [3, 2, 1], 'e3': [5, 4], 'e4': [6, 5, 1, 4, 3]}",True,False,6,5
95,"{'e0': [2, 6, 1, 5], 'e1': [2, 1, 3], 'e2': [6, 2, 5, 4, 1, 3], 'e3': [3, 5, 6], 'e4': [6, 1, 3]}",True,False,6,5
96,"{'e0': [2, 3, 1, 4], 'e1': [1, 6], 'e2': [2, 1, 6, 5, 4], 'e3': [2, 6, 4, 3, 1], 'e4': [5, 3]}",False,False,6,5
97,"{'e0': [2, 3, 5, 6], 'e1': [3, 6, 4, 5], 'e2': [3, 5], 'e3': [6, 5, 3], 'e4': [5, 4, 2, 3, 1]}",False,False,6,5
98,"{'e0': [6, 3], 'e1': [5, 6, 1, 4], 'e2': [5, 3, 4, 1], 'e3': [5, 6], 'e4': [1, 2, 3]}",False,False,6,5
99,"{'e0': [6, 4, 1], 'e1': [2, 6, 4, 1], 'e2': [1, 3, 2, 5, 6, 4], 'e3': [6, 2, 1], 'e4': [1, 6]}",True,True,6,5
100,"{'e0': [6, 2, 3, 4], 'e1': [4, 3, 2], 'e2': [4, 6, 1, 3, 5], 'e3': [5, 3, 1, 4, 6, 2], 'e4': [1, 2, 5]}",True,False,6,5
101,"{'e0': [5, 1, 4, 3], 'e1': [5, 1, 2], 'e2': [4, 5, 6, 1], 'e3': [1, 3, 4, 5, 6, 2], 'e4': [3, 1, 2, 5]}",True,False,6,5
102,"{'e0': [2, 5, 6, 4], 'e1': [6, 3, 1, 5, 4], 'e2': [6, 1, 4], 'e3': [5, 1, 4], 'e4': [1, 5]}",True,False,6,5
103,"{'e0': [2, 1, 4, 6, 3], 'e1': [6, 4, 2], 'e2': [2, 4, 1], 'e3': [1, 6, 4], 'e4': [3, 6, 5, 1, 4]}",True,False,6,5
104,"{'e0': [1, 5, 4], 'e1': [4, 2, 1, 6, 3, 5], 'e2': [1, 5], 'e3': [3, 6], 'e4': [6, 4, 1, 5, 3]}",True,False,6,5
105,"{'e0': [2, 1, 6, 3, 4], 'e1': [1, 5, 4], 'e2': [2, 3, 4], 'e3': [5, 2], 'e4': [6, 3, 4, 2]}",False,False,6,5
106,"{'e0': [3, 4, 5, 6], 'e1': [1, 3, 6, 2], 'e2': [3, 5, 1, 4, 2, 6], 'e3': [5, 3, 4], 'e4': [3, 5, 2, 4]}",True,False,6,5
107,"{'e0': [1, 3], 'e1': [1, 2, 6, 5, 4], 'e2': [5, 6, 3, 4], 'e3': [3, 4, 2], 'e4': [1, 2]}",False,False,6,5
108,"{'e0': [4, 2], 'e1': [6, 5, 4, 3, 1], 'e2': [4, 1, 5], 'e3': [3, 5], 'e4': [6, 5, 2, 3, 4, 1]}",True,False,6,5
109,"{'e0': [1, 4, 5, 3], 'e1': [6, 4, 5], 'e2': [4, 3, 2], 'e3': [5, 2], 'e4': [2, 3]}",False,False,6,5
110,"{'e0': [5, 4], 'e1': [2, 3, 6, 5], 'e2': [1, 5, 2, 6], 'e3': [2, 4, 3], 'e4': [6, 1, 5, 2, 4, 3]}",True,False,6,5
111,"{'e0': [4, 1, 3], 'e1': [3, 4, 5, 1, 6], 'e2': [3, 4, 6], 'e3': [2, 5], 'e4': [5, 2, 3, 1, 6]}",True,False,6,5
112,"{'e0': [3, 2, 6, 4], 'e1': [2, 1, 6, 4, 5, 3], 'e2': [3, 1, 4], 'e3': [1, 3, 5], 'e4': [5, 4]}",True,False,6,5
113,"{'e0': [4, 5, 1], 'e1': [2, 3, 5, 6, 1], 'e2': [6, 1, 4, 2], 'e3': [5, 6, 2, 1, 4], 'e4': [1, 6]}",True,False,6,5
114,"{'e0': [1, 5, 2, 6, 4], 'e1': [6, 3, 5, 2, 1, 4], 'e2': [4, 2, 6, 1, 3], 'e3': [3, 2, 4], 'e4': [3, 2, 5, 1]}",True,False,6,5
115,"{'e0': [5, 6, 2, 4], 'e1': [4, 2, 6], 'e2': [5, 1, 3, 4], 'e3': [6, 5, 3, 1, 4], 'e4': [5, 1, 4, 6, 2, 3]}",True,False,6,5
116,"{'e0': [3, 4, 6, 2, 1], 'e1': [1, 4, 6], 'e2': [2, 3, 4, 6], 'e3': [5, 4], 'e4': [1, 2, 6, 4, 5, 3]}",True,False,6,5
117,"{'e0': [1, 4, 6, 5, 3], 'e1': [4, 1, 3], 'e2': [1, 5], 'e3': [3, 1, 4, 2, 6], 'e4': [2, 6]}",True,False,6,5
118,"{'e0': [3, 6], 'e1': [3, 1, 4, 5, 6], 'e2': [4, 3], 'e3': [1, 5, 4, 6, 2, 3], 'e4': [4, 5, 6]}",True,False,6,5
119,"{'e0': [1, 5, 3, 2], 'e1': [3, 1, 4, 5, 6, 2], 'e2': [2, 4, 1, 5], 'e3': [3, 6], 'e4': [5, 1, 4, 3, 2]}",True,False,6,5
120,"{'e0': [2, 5, 4, 3], 'e1': [5, 2, 4, 6, 3], 'e2': [5, 2, 3], 'e3': [1, 2, 4], 'e4': [2, 1]}",True,False,6,5
121,"{'e0': [4, 3, 1], 'e1': [6, 2, 3], 'e2': [3, 2, 1], 'e3': [3, 1], 'e4': [1, 3, 5, 2, 6, 4]}",True,True,6,5
122,"{'e0': [6, 5], 'e1': [6, 3, 1, 5, 4, 2], 'e2': [3, 6], 'e3': [1, 2, 6], 'e4': [5, 6, 3, 2, 1]}",True,False,6,5
